#country_of_birth	f_A	f_B	f_AB	f_O	n_A	n_B	n_AB	n_O	n
Afghanistan	0.258928571428571	0.401785714285714	0.0714285714285714	0.267857142857143	29	45	8	30	112
Africa	0.443349753694581	0.187192118226601	0.0640394088669951	0.261083743842365	90	38	13	53	203
Algeria	0.395604395604396	0.153846153846154	0.043956043956044	0.373626373626374	36	14	4	34	91
Angola	0.464285714285714	0.142857142857143	0.0535714285714286	0.303571428571429	26	8	3	17	56
Antigua and Barbuda	0.382352941176471	0.117647058823529	0.117647058823529	0.294117647058824	13	4	4	10	34
Argentina	0.450381679389313	0.137404580152672	0.0534351145038168	0.351145038167939	59	18	7	46	131
Asia	0.304123711340206	0.283505154639175	0.0721649484536082	0.335051546391753	59	55	14	65	194
Australia	0.412784398699892	0.0899241603466956	0.0227518959913326	0.473456121343445	381	83	21	437	923
Austria	0.423469387755102	0.127551020408163	0.0510204081632653	0.392857142857143	83	25	10	77	196
Bahrain	0.361111111111111	0.0555555555555556	0.0277777777777778	0.5	13	2	1	18	36
Bangladesh	0.231707317073171	0.357723577235772	0.0813008130081301	0.321138211382114	57	88	20	79	246
Barbados	0.389285714285714	0.146428571428571	0.0857142857142857	0.296428571428571	109	41	24	83	280
Belgium	0.493670886075949	0.0569620253164557	0.0253164556962025	0.424050632911392	78	9	4	67	158
Bosnia and Herzegovina	0.487804878048781	0.146341463414634	0.0487804878048781	0.317073170731707	20	6	2	13	41
Brazil	0.444444444444444	0.103703703703704	0.0407407407407407	0.4	120	28	11	108	270
Bulgaria	0.4	0.157142857142857	0.0857142857142857	0.357142857142857	28	11	6	25	70
Cameroon	0.388888888888889	0.111111111111111	0.0740740740740741	0.314814814814815	21	6	4	17	54
Canada	0.427197802197802	0.0961538461538462	0.0370879120879121	0.434065934065934	311	70	27	316	728
Caribbean	0.429748969651555	0.146122143124766	0.0760584488572499	0.287748220307231	1147	390	203	768	2669
Central African Republic	0.30952380952381	0.261904761904762	0.0952380952380952	0.333333333333333	13	11	4	14	42
Channel Islands	0.411764705882353	0.0840336134453782	0.0252100840336134	0.478991596638655	49	10	3	57	119
Chile	0.397727272727273	0.102272727272727	0.0340909090909091	0.465909090909091	35	9	3	41	88
China	0.317191283292978	0.24455205811138	0.12590799031477	0.309927360774818	131	101	52	128	413
Colombia	0.355371900826446	0.0702479338842975	0.0247933884297521	0.545454545454545	86	17	6	132	242
Congo	0.425149700598802	0.161676646706587	0.11377245508982	0.269461077844311	71	27	19	45	167
Croatia	0.266666666666667	0.177777777777778	0.0888888888888889	0.466666666666667	12	8	4	21	45
Cyprus	0.42638036809816	0.141104294478528	0.049079754601227	0.377300613496933	139	46	16	123	326
Czech Republic	0.468253968253968	0.150793650793651	0.0555555555555556	0.325396825396825	59	19	7	41	126
Denmark	0.424242424242424	0.134199134199134	0.0606060606060606	0.380952380952381	98	31	14	88	231
