#case	control	ABO_type	OR	P
Wuhan_Jinyintan_Hospital_Pts	Wuhan_controls	A	1.279 (1.134 - 1.442)	4.98e-05
Wuhan_Jinyintan_Hospital_Pts	Wuhan_controls	B	1.083 (0.949 - 1.234)	2.32e-01
Wuhan_Jinyintan_Hospital_Pts	Wuhan_controls	AB	1.114 (0.915 - 1.353)	2.76e-01
Wuhan_Jinyintan_Hospital_Pts	Wuhan_controls	O	0.680 (0.598 - 0.773)	1.44e-09
Wuhan_Jinyintan_Hospital_Pts	UKB_Chinese	A	1.688 (1.446 - 1.972)	1.03e-11
Wuhan_Jinyintan_Hospital_Pts	UKB_Chinese	B	0.978 (0.833 - 1.150)	8.09e-01
Wuhan_Jinyintan_Hospital_Pts	UKB_Chinese	AB	1.502 (1.154 - 1.964)	1.87e-03
Wuhan_Jinyintan_Hospital_Pts	UKB_Chinese	O	0.551 (0.473 - 0.643)	8.52e-15
Wuhan_Jinyintan_Hospital_Pts	UKB_e_asian	A	1.718 (1.456 - 2.030)	4.21e-11
Wuhan_Jinyintan_Hospital_Pts	UKB_e_asian	B	1.009 (0.850 - 1.198)	9.32e-01
Wuhan_Jinyintan_Hospital_Pts	UKB_e_asian	AB	1.603 (1.203 - 2.153)	9.42e-04
Wuhan_Jinyintan_Hospital_Pts	UKB_e_asian	O	0.517 (0.440 - 0.608)	4.32e-16
Wuhan_controls	UKB_Chinese	A	1.320 (1.149 - 1.518)	6.30e-05
Wuhan_controls	UKB_Chinese	B	0.904 (0.785 - 1.042)	1.62e-01
Wuhan_controls	UKB_Chinese	AB	1.349 (1.064 - 1.722)	1.16e-02
Wuhan_controls	UKB_Chinese	O	0.811 (0.713 - 0.922)	1.21e-03
Shenzhen_3rd_ppl_Hospital_Pts	Shenzhen_controls	A	1.000 (0.763 - 1.301)	1.00e+00
Shenzhen_3rd_ppl_Hospital_Pts	Shenzhen_controls	B	1.223 (0.934 - 1.590)	1.31e-01
Shenzhen_3rd_ppl_Hospital_Pts	Shenzhen_controls	AB	2.007 (1.388 - 2.834)	2.18e-04
Shenzhen_3rd_ppl_Hospital_Pts	Shenzhen_controls	O	0.627 (0.478 - 0.816)	2.98e-04
Shenzhen_3rd_ppl_Hospital_Pts	UKB_Chinese	A	1.124 (0.837 - 1.502)	4.21e-01
Shenzhen_3rd_ppl_Hospital_Pts	UKB_Chinese	B	1.119 (0.834 - 1.494)	4.24e-01
Shenzhen_3rd_ppl_Hospital_Pts	UKB_Chinese	AB	2.136 (1.399 - 3.212)	3.01e-04
Shenzhen_3rd_ppl_Hospital_Pts	UKB_Chinese	O	0.629 (0.470 - 0.837)	9.76e-04
Shenzhen_3rd_ppl_Hospital_Pts	UKB_e_asian	A	1.145 (0.846 - 1.539)	3.69e-01
Shenzhen_3rd_ppl_Hospital_Pts	UKB_e_asian	B	1.154 (0.854 - 1.550)	3.32e-01
Shenzhen_3rd_ppl_Hospital_Pts	UKB_e_asian	AB	2.279 (1.469 - 3.492)	1.93e-04
Shenzhen_3rd_ppl_Hospital_Pts	UKB_e_asian	O	0.591 (0.439 - 0.789)	2.25e-04
Shenzhen_controls	UKB_Chinese	A	1.124 (0.995 - 1.273)	6.08e-02
Shenzhen_controls	UKB_Chinese	B	0.915 (0.810 - 1.036)	1.57e-01
Shenzhen_controls	UKB_Chinese	AB	1.065 (0.861 - 1.329)	5.99e-01
Shenzhen_controls	UKB_Chinese	O	1.003 (0.898 - 1.122)	9.78e-01
