#population	A	B	AB	O	n
UKB_white_british	0.28581168	0.0851746461	0.022142736	0.46362481	337138
UKB_non_british_white	0.25988979	0.1168633664	0.027285976	0.46771921	24905
UKB_african	0.1051995584	0.16201185	0.02513784	0.27583504	6497
UKB_s_asian	0.18335424	0.34338173	0.07026016	0.32787076	7885
UKB_e_asian	0.26062113	0.26225073	0.06508782	0.40246336	1154
UKB_Chinese	0.26460045	0.26815741	0.06933846	0.38713284	1419
UKB_Indian	0.18462528	0.341964	0.07166376	0.32046921	5117
UKB_Pakistani	0.1931852	0.35335104	0.07923504	0.30680521	1583
UKB_Bangladeshi	0.19359585	0.337536	0.0672728	0.36336784	209
Wuhan_controls	0.321602598808879	0.249052517596102	0.0909583107742285	0.338386572820791	3694
Wuhan_Jinyintan_Hospital_Pts	0.377464788732394	0.264225352112676	0.100281690140845	0.258028169014084	1775
Wuhan_Jinyintan_Hospital_Deaths	0.412621359223301	0.242718446601942	0.0922330097087379	0.252427184466019	206
Renmin_Hospital_of_Wuhan_U_Pts	0.398230088495575	0.221238938053097	0.132743362831858	0.247787610619469	113
Shenzhen_controls	0.28769349183272	0.251432480971521	0.0732061917386471	0.387667835457111	23386
Shenzhen_3rd_ppl_Hospital_Pts	0.287719298245614	0.291228070175439	0.136842105263158	0.284210526315789	285
