#Locus	Allele	Ethnicity/Country	Freq	AlleleCount	FamCount	SampleCount
HLA-A	A*01	AFA	0.049645	7	7	14
HLA-A	A*02	AFA	0.25532	36	32	72
HLA-A	A*03	AFA	0.06383	9	10	20
HLA-A	A*11	AFA	0.007092	1	1	2
HLA-A	A*23	AFA	0.085106	12	11	21
HLA-A	A*24	AFA	0.028369	4	4	7
HLA-A	A*25	AFA	0	0	0	0
HLA-A	A*26	AFA	0.042553	6	6	12
HLA-A	A*29	AFA	0.042553	6	6	10
HLA-A	A*30	AFA	0.141844	20	20	38
HLA-A	A*31	AFA	0.014184	2	2	3
HLA-A	A*32	AFA	0.028369	4	4	10
HLA-A	A*33	AFA	0.06383	9	9	17
HLA-A	A*34	AFA	0.035461	5	5	11
HLA-A	A*36	AFA	0	0	0	0
HLA-A	A*66	AFA	0.021276	3	3	7
HLA-A	A*68	AFA	0.099291	14	14	24
HLA-A	A*69	AFA	0	0	0	0
HLA-A	A*74	AFA	0.014184	2	2	4
HLA-A	A*80	AFA	0.007092	1	1	3
HLA-A	A*01	ARGENTINA	0.106322	37	35	61
HLA-A	A*02	ARGENTINA	0.290232	101	78	167
HLA-A	A*03	ARGENTINA	0.066093	23	23	34
HLA-A	A*11	ARGENTINA	0.048851	17	17	25
HLA-A	A*23	ARGENTINA	0.03161	11	11	20
HLA-A	A*24	ARGENTINA	0.086208	30	26	46
HLA-A	A*25	ARGENTINA	0.005747	2	2	3
HLA-A	A*26	ARGENTINA	0.034484	12	12	20
HLA-A	A*29	ARGENTINA	0.028736	10	10	15
HLA-A	A*30	ARGENTINA	0.077588	27	24	49
HLA-A	A*31	ARGENTINA	0.074713	26	23	42
HLA-A	A*32	ARGENTINA	0.04023	14	13	20
HLA-A	A*33	ARGENTINA	0.011494	4	4	6
HLA-A	A*34	ARGENTINA	0	0	0	0
HLA-A	A*36	ARGENTINA	0	0	0	0
HLA-A	A*66	ARGENTINA	0	0	0	0
HLA-A	A*68	ARGENTINA	0.097701	34	31	56
HLA-A	A*69	ARGENTINA	0	0	0	0
HLA-A	A*74	ARGENTINA	0	0	0	0
HLA-A	A*80	ARGENTINA	0	0	0	0
HLA-A	A*01	ASI	0.026087	6	6	11
HLA-A	A*02	ASI	0.243478	56	50	118
HLA-A	A*03	ASI	0.034783	8	7	19
HLA-A	A*11	ASI	0.252174	58	42	117
HLA-A	A*23	ASI	0.004348	1	1	2
HLA-A	A*24	ASI	0.165218	38	31	72
HLA-A	A*25	ASI	0.004348	1	1	2
HLA-A	A*26	ASI	0.03913	9	9	22
HLA-A	A*29	ASI	0.030435	7	5	14
HLA-A	A*30	ASI	0.030435	7	6	13
HLA-A	A*31	ASI	0.034783	8	5	15
HLA-A	A*32	ASI	0	0	0	0
HLA-A	A*33	ASI	0.104348	24	18	53
