#Ethnicity/Country	A*01	A*02	A*03	A*11	A*23	A*24	A*25	A*26	A*29	A*30	A*31	A*32	A*33	A*34	A*36	A*66	A*68	A*69	A*74	A*80	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*59	B*67	B*73	B*78	B*81	B*82	C*01	C*02	C*03	C*04	C*05	C*06	C*07	C*08	C*12	C*14	C*15	C*16	C*17	C*18	DPA1*01	DPA1*02	DPA1*03	DPA1*04	DPB1*01	DPB1*02	DPB1*03	DPB1*04	DPB1*05	DPB1*05/DPB1*140/DPB1*170/DPB1*171/DPB1*223/DPB1*226/DPB1*22/DPB1*284/DPB1*300/DPB1*301/DPB1*317/DPB1*330/DPB1*331/DPB1*38/DPB1*395/DPB1*473/DPB1*495/DPB1*527/DPB1*97	DPB1*06	DPB1*09	DPB1*10	DPB1*104	DPB1*105	DPB1*106	DPB1*11	DPB1*124	DPB1*126	DPB1*13/DPB1*107	DPB1*131	DPB1*135	DPB1*138	DPB1*14	DPB1*140/DPB1*170/DPB1*171/DPB1*223/DPB1*226/DPB1*22/DPB1*284/DPB1*300/DPB1*301/DPB1*317/DPB1*330/DPB1*331/DPB1*38/DPB1*395/DPB1*473/DPB1*495/DPB1*527/DPB1*97	DPB1*15	DPB1*16	DPB1*17	DPB1*18	DPB1*19	DPB1*20	DPB1*21	DPB1*23	DPB1*26	DPB1*27	DPB1*29	DPB1*296	DPB1*30	DPB1*31	DPB1*338	DPB1*34	DPB1*351	DPB1*369	DPB1*39	DPB1*398	DPB1*40	DPB1*41	DPB1*414	DPB1*416	DPB1*45	DPB1*46	DPB1*48	DPB1*50	DPB1*519	DPB1*55	DPB1*71	DPB1*85	DPB1*88	DQA1*01	DQA1*02	DQA1*03	DQA1*04	DQA1*05	DQA1*06	DQB1*02	DQB1*03	DQB1*04	DQB1*05	DQB1*06	DRB1*01	DRB1*03	DRB1*04	DRB1*07	DRB1*08	DRB1*09	DRB1*10	DRB1*11	DRB1*12	DRB1*13	DRB1*14	DRB1*15	DRB1*16	DRB3*01	DRB3*02	DRB3*03	DRB4*01	DRB4*02	DRB5*01	DRB5*02	HLA-A	HLA-B	HLA-C	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQB1	HLA-DRB1	HLA-DRB3	HLA-DRB4	HLA-DRB5
AFA	7	36	9	1	12	4	0	6	6	20	2	4	9	5	0	3	14	0	2	1	9	10	0	8	23	3	1	9	1	1	1	4	5	7	8	6	0	0	0	3	0	3	3	13	0	1	1	5	11	0	0	1	1	3	0	1	16	16	24	3	12	23	8	4	4	4	11	10	5	49	64	17	4	38	16	3	21	2	0	0	0	1	6	20	1	5	0	0	8	4	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	69	11	15	11	33	0	28	37	6	26	44	11	23	11	12	7	2	1	14	4	26	3	23	4	21	34	15	25	0	23	4	141	141	141	134	139	139	141	141	70	25	27
ARGENTINA	37	101	23	17	11	30	2	12	10	27	26	14	4	0	0	0	34	0	0	0	12	22	17	16	33	18	5	50	2	12	31	17	6	2	34	3	0	2	9	5	7	21	6	3	0	6	2	4	3	0	0	0	0	0	0	18	7	37	62	20	33	87	21	25	3	15	15	5	0	253	81	1	0	15	44	20	158	13	0	4	3	5	11	15	0	7	0	6	12	0	0	2	12	0	0	3	4	0	4	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	35	64	32	117	0	61	157	29	43	52	21	34	43	34	40	13	4	52	6	42	22	20	17	56	91	13	86	0	20	16	348	348	348	335	344	344	342	348	160	86	36
ASI	6	56	8	58	1	38	1	9	7	7	8	0	24	5	0	0	2	0	0	0	16	4	19	0	22	5	5	17	2	12	9	25	3	0	17	0	19	0	1	0	2	14	5	0	5	5	4	2	15	0	0	1	1	0	0	33	2	38	24	4	11	64	16	8	6	20	2	1	0	98	128	0	4	9	41	8	48	66	0	0	1	0	5	0	0	1	0	0	17	0	5	0	4	0	0	0	5	0	2	0	8	3	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	105	19	45	0	37	24	27	92	6	56	49	8	12	25	19	19	18	11	18	29	9	16	44	2	10	47	27	62	0	45	1	230	230	229	230	230	230	230	230	84	62	46
AUSTRIA	4	6	1	3	2	7	0	4	1	3	1	2	3	0	1	0	2	0	0	0	4	0	1	1	3	3	0	2	2	2	0	0	1	1	2	0	0	0	0	2	0	6	1	1	0	2	0	1	5	0	0	0	0	0	0	1	0	4	4	0	4	10	1	6	1	4	3	2	0	31	8	1	0	1	7	2	18	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	6	0	14	1	7	16	1	9	7	3	3	5	2	1	1	0	10	2	6	1	3	3	5	16	1	8	0	3	3	40	40	40	40	40	40	40	40	22	8	6
BRAZIL	22	62	15	9	19	25	3	12	9	22	24	6	10	2	1	0	13	0	5	1	13	10	9	15	25	11	5	29	3	9	15	9	0	8	21	8	0	0	1	10	8	16	5	5	0	4	1	11	6	0	0	0	0	2	1	10	15	28	34	8	28	61	19	15	3	12	15	10	2	170	79	8	3	23	37	14	101	4	0	2	2	5	11	9	0	6	1	0	9	5	0	0	6	0	1	1	12	0	1	0	0	1	0	2	1	0	1	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	90	38	41	18	73	0	49	99	21	42	49	18	20	38	36	21	3	3	40	2	35	16	17	11	32	67	14	77	0	17	11	260	260	260	260	260	260	260	260	113	77	28
CHINA	15	286	19	277	2	155	0	24	3	33	20	5	82	1	0	0	6	0	2	0	15	2	116	4	114	6	14	30	10	37	22	168	0	0	17	1	132	0	33	0	3	64	18	1	17	28	8	2	64	1	5	0	0	0	0	170	2	248	54	5	51	176	104	42	42	36	2	0	0	0	0	0	0	4	153	35	61	264	1	0	2	1	4	0	0	0	0	0	57	0	22	0	22	1	2	0	8	0	3	0	16	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	1	0	0	0	0	0	0	0	91	370	52	212	207	12	45	95	48	54	140	11	48	114	49	82	157	57	0	0	0	0	0	0	0	930	932	932	0	668	0	932	912	0	0	0
CZECH	41	90	44	15	11	29	14	14	8	5	9	11	6	0	0	3	12	1	0	0	39	24	15	7	21	25	13	34	1	16	6	15	6	0	43	3	0	0	0	3	6	21	10	0	0	2	6	11	2	0	0	0	0	0	0	21	14	31	44	20	32	92	7	46	3	12	5	6	0	283	51	0	0	11	46	21	188	6	0	4	3	4	10	0	0	3	0	1	6	0	0	0	7	0	2	1	10	0	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	45	47	7	98	1	67	124	7	58	78	28	31	41	45	9	5	2	52	5	36	13	57	8	47	85	5	91	0	56	9	313	329	333	334	334	334	334	332	137	91	65
EGYPT	14	8	4	1	2	8	0	4	0	3	1	1	3	0	0	2	4	1	0	0	0	3	0	5	2	2	0	8	0	4	0	1	7	2	1	1	0	1	0	4	2	1	7	0	0	0	0	3	2	0	0	0	0	0	0	1	1	1	9	0	3	12	5	13	0	0	4	7	0	39	16	1	0	5	10	1	28	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	6	11	2	18	0	17	17	3	8	11	6	11	11	5	1	0	1	9	0	7	0	5	0	6	20	2	16	0	5	0	56	56	56	56	56	56	56	56	28	16	5
EUR	57	112	48	27	8	39	10	14	18	15	13	12	14	3	0	0	23	0	1	0	33	37	6	13	33	27	21	45	5	11	18	29	7	1	53	3	1	0	4	9	4	19	7	3	0	4	2	14	5	0	0	0	0	0	0	14	26	56	51	33	29	118	18	27	6	14	16	6	0	285	80	3	1	24	60	31	208	7	0	3	4	10	6	3	0	14	0	0	10	0	0	0	10	0	4	5	7	1	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	53	88	23	106	1	88	162	21	56	87	40	50	79	53	24	8	1	33	12	38	15	55	6	58	75	15	139	1	55	6	414	414	414	369	414	414	414	414	148	140	61
GERMANY	37	67	46	18	9	36	4	17	4	8	4	8	5	0	0	0	6	0	1	0	39	25	10	4	16	12	8	33	1	15	5	17	1	0	28	0	1	3	0	5	4	20	4	1	0	5	4	8	1	0	0	0	0	0	0	11	19	22	44	12	23	82	3	30	4	10	9	1	0	221	49	0	0	11	33	20	158	3	0	2	2	6	8	0	0	0	0	0	4	0	0	0	6	0	1	2	8	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	27	39	5	69	1	42	89	8	45	86	24	26	37	26	7	2	2	36	4	40	6	50	10	39	61	13	64	0	50	10	270	270	270	270	270	270	270	270	113	64	60
