#Locus	Allele	Ethnicity	Frequency	Count
HLA-A	A*01	AfAm	0.04696	37
HLA-A	A*02	AfAm	0.217	171
HLA-A	A*03	AfAm	0.08122	64
HLA-A	A*11	AfAm	0.0165	13
HLA-A	A*23	AfAm	0.0736	58
HLA-A	A*24	AfAm	0.03046	24
HLA-A	A*25	AfAm	0.00381	3
HLA-A	A*26	AfAm	0.00761	6
HLA-A	A*29	AfAm	0.02919	23
HLA-A	A*30	AfAm	0.14722	116
HLA-A	A*31	AfAm	0.00888	7
HLA-A	A*32	AfAm	0.02157	17
HLA-A	A*33	AfAm	0.06853	54
HLA-A	A*34	AfAm	0.02284	18
HLA-A	A*36	AfAm	0.03553	28
HLA-A	A*66	AfAm	0.01904	15
HLA-A	A*68	AfAm	0.11549	91
HLA-A	A*69	AfAm	0.00127	1
HLA-A	A*74	AfAm	0.05076	40
HLA-A	A*80	AfAm	0.00254	2
HLA-A	A*01	API	0.05814	5
HLA-A	A*02	API	0.25582	22
HLA-A	A*03	API	0.04651	4
HLA-A	A*11	API	0.17442	15
HLA-A	A*23	API	0.01163	1
HLA-A	A*24	API	0.25581	22
HLA-A	A*25	API	0	0
HLA-A	A*26	API	0.01163	1
HLA-A	A*29	API	0	0
HLA-A	A*30	API	0.01163	1
HLA-A	A*31	API	0.01163	1
HLA-A	A*32	API	0	0
HLA-A	A*33	API	0.05814	5
HLA-A	A*34	API	0.09302	8
HLA-A	A*36	API	0	0
HLA-A	A*66	API	0	0
HLA-A	A*68	API	0.01163	1
HLA-A	A*69	API	0	0
HLA-A	A*74	API	0	0
HLA-A	A*80	API	0	0
HLA-A	A*01	Arab	0.07692	8
HLA-A	A*02	Arab	0.25	26
HLA-A	A*03	Arab	0.09616	10
HLA-A	A*11	Arab	0.0577	6
HLA-A	A*23	Arab	0.01923	2
HLA-A	A*24	Arab	0.06732	7
HLA-A	A*25	Arab	0	0
HLA-A	A*26	Arab	0.01923	2
HLA-A	A*29	Arab	0.01924	2
HLA-A	A*30	Arab	0.04809	5
HLA-A	A*31	Arab	0.02885	3
HLA-A	A*32	Arab	0.09615	10
HLA-A	A*33	Arab	0.0577	6
HLA-A	A*34	Arab	0.00962	1
HLA-A	A*36	Arab	0	0
HLA-A	A*66	Arab	0.00962	1
HLA-A	A*68	Arab	0.10578	11
HLA-A	A*69	Arab	0	0
HLA-A	A*74	Arab	0.03846	4
HLA-A	A*80	Arab	0	0
HLA-A	A*01	EuAm	0.16118	803
HLA-A	A*02	EuAm	0.27718	1381
HLA-A	A*03	EuAm	0.14211	708
HLA-A	A*11	EuAm	0.06664	332
HLA-A	A*23	EuAm	0.02047	102
HLA-A	A*24	EuAm	0.08991	448
HLA-A	A*25	EuAm	0.02067	103
HLA-A	A*26	EuAm	0.03894	194
HLA-A	A*29	EuAm	0.04195	209
HLA-A	A*30	EuAm	0.02368	118
HLA-A	A*31	EuAm	0.02489	124
HLA-A	A*32	EuAm	0.03794	189
HLA-A	A*33	EuAm	0.01405	70
HLA-A	A*34	EuAm	0.0014	7
HLA-A	A*36	EuAm	0	0
HLA-A	A*66	EuAm	0.00442	22
HLA-A	A*68	EuAm	0.03212	160
HLA-A	A*69	EuAm	0.00221	11
HLA-A	A*74	EuAm	2e-04	1
HLA-A	A*80	EuAm	0	0
HLA-A	A*01	European	0.17925	76
HLA-A	A*02	European	0.34435	146
HLA-A	A*03	European	0.1368	58
HLA-A	A*11	European	0.04481	19
HLA-A	A*23	European	0.0283	12
HLA-A	A*24	European	0.04481	19
HLA-A	A*25	European	0.01651	7
HLA-A	A*26	European	0.03538	15
HLA-A	A*29	European	0.03538	15
HLA-A	A*30	European	0.0283	12
HLA-A	A*31	European	0.02123	9
HLA-A	A*32	European	0.03066	13
HLA-A	A*33	European	0.01179	5
HLA-A	A*34	European	0	0
HLA-A	A*36	European	0	0
HLA-A	A*66	European	0.00236	1
HLA-A	A*68	European	0.0401	17
HLA-A	A*69	European	0	0
HLA-A	A*74	European	0	0
HLA-A	A*80	European	0	0
HLA-A	A*01	Global	0.13701	1184
HLA-A	A*02	Global	0.27007	2334
HLA-A	A*03	Global	0.12068	1043
HLA-A	A*11	Global	0.06665	576
HLA-A	A*23	Global	0.02591	224
HLA-A	A*24	Global	0.09395	812
HLA-A	A*25	Global	0.0162	140
HLA-A	A*26	Global	0.03402	294
HLA-A	A*29	Global	0.04039	349
HLA-A	A*30	Global	0.03922	339
HLA-A	A*31	Global	0.02511	217
HLA-A	A*32	Global	0.03714	321
HLA-A	A*33	Global	0.02499	216
HLA-A	A*34	Global	0.00417	36
HLA-A	A*36	Global	0.00335	29
HLA-A	A*66	Global	0.00567	49
HLA-A	A*68	Global	0.04732	409
HLA-A	A*69	Global	0.00266	23
HLA-A	A*74	Global	0.00521	45
HLA-A	A*80	Global	0.00046	4
HLA-A	A*01	Greek	0.11	44
HLA-A	A*02	Greek	0.3025	121
HLA-A	A*03	Greek	0.0825	33
HLA-A	A*11	Greek	0.0675	27
HLA-A	A*23	Greek	0.0225	9
HLA-A	A*24	Greek	0.1525	61
HLA-A	A*25	Greek	0.0075	3
HLA-A	A*26	Greek	0.0325	13
HLA-A	A*29	Greek	0.025	10
HLA-A	A*30	Greek	0.0325	13
HLA-A	A*31	Greek	0.0175	7
HLA-A	A*32	Greek	0.07	28
HLA-A	A*33	Greek	0.025	10
HLA-A	A*34	Greek	0	0
HLA-A	A*36	Greek	0	0
HLA-A	A*66	Greek	0.0025	1
HLA-A	A*68	Greek	0.04	16
HLA-A	A*69	Greek	0.01	4
HLA-A	A*74	Greek	0	0
HLA-A	A*80	Greek	0	0
HLA-A	A*01	India	0.18324	59
HLA-A	A*02	India	0.16772	54
HLA-A	A*03	India	0.08075	26
HLA-A	A*11	India	0.14286	46
HLA-A	A*23	India	0.00311	1
HLA-A	A*24	India	0.1553	50
HLA-A	A*25	India	0	0
HLA-A	A*26	India	0.03727	12
HLA-A	A*29	India	0	0
HLA-A	A*30	India	0.02795	9
HLA-A	A*31	India	0.04969	16
HLA-A	A*32	India	0.01553	5
HLA-A	A*33	India	0.06832	22
HLA-A	A*34	India	0	0
HLA-A	A*36	India	0	0
HLA-A	A*66	India	0	0
HLA-A	A*68	India	0.06833	22
HLA-A	A*69	India	0	0
HLA-A	A*74	India	0	0
HLA-A	A*80	India	0	0
HLA-A	A*01	Italian	0.13356	78
HLA-A	A*02	Italian	0.24828	145
