#Ethnicity	A*01	A*02	A*03	A*11	A*23	A*24	A*25	A*26	A*29	A*30	A*31	A*32	A*33	A*34	A*36	A*66	A*68	A*69	A*74	A*80	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*67	B*73	B*78	B*81	B*82	C*01	C*02	C*03	C*04	C*05	C*06	C*07	C*08	C*12	C*14	C*15	C*16	C*17	C*18	DPA1*01	DPA1*02	DPA1*03	DPA1*04	DPB1*01	DPB1*02	DPB1*03	DPB1*04	DPB1*05	DPB1*06	DPB1*09	DPB1*10	DPB1*104	DPB1*105	DPB1*106	DPB1*107	DPB1*11	DPB1*124	DPB1*126	DPB1*13	DPB1*130	DPB1*131	DPB1*133	DPB1*135	DPB1*138	DPB1*14	DPB1*15	DPB1*16	DPB1*162	DPB1*17	DPB1*18	DPB1*19	DPB1*20	DPB1*21	DPB1*23	DPB1*25	DPB1*259	DPB1*26	DPB1*29	DPB1*296	DPB1*30	DPB1*31	DPB1*34	DPB1*35	DPB1*350	DPB1*37	DPB1*38	DPB1*39	DPB1*40	DPB1*414	DPB1*416	DPB1*417	DPB1*45	DPB1*46	DPB1*461	DPB1*463	DPB1*47	DPB1*49	DPB1*51	DPB1*519	DPB1*52	DPB1*59	DPB1*63	DPB1*81	DPB1*85	DPB1*90	DQA1*01	DQA1*02	DQA1*03	DQA1*04	DQA1*05	DQA1*06	DQB1*02	DQB1*03	DQB1*04	DQB1*05	DQB1*06	DRB1*01	DRB1*03	DRB1*04	DRB1*07	DRB1*08	DRB1*09	DRB1*10	DRB1*11	DRB1*12	DRB1*13	DRB1*14	DRB1*15	DRB1*16	DRB3*00	DRB3*01	DRB3*02	DRB3*03	DRB4*00	DRB4*01	DRB4*03	DRB5*00	DRB5*01	DRB5*02	HLA-A	HLA-B	HLA-C	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQB1	HLA-DRB1	HLA-DRB3	HLA-DRB4	HLA-DRB5
AfAm	37	171	64	13	58	24	3	6	23	116	7	17	54	18	28	15	91	1	40	2	62	29	6	31	90	33	13	89	3	1	8	21	6	51	59	27	0	2	0	25	6	17	8	91	0	3	0	24	63	0	1	3	15	1	5	73	57	163	34	66	156	41	15	17	16	60	60	25	349	322	84	5	205	112	23	130	6	5	1	5	21	74	1	0	25	1	1	26	0	13	1	0	0	4	3	1	1	25	58	1	2	0	0	0	0	0	1	0	3	0	1	0	0	0	0	5	11	1	0	4	0	0	1	1	0	1	0	1	0	0	0	0	13	0	378	65	80	88	147	0	150	181	61	163	231	62	111	55	60	62	12	15	100	37	108	17	141	4	401	88	203	66	630	122	0	625	128	3	788	788	788	760	788	758	786	784	758	752	756
API	5	22	4	15	1	22	0	1	0	1	1	0	5	8	0	0	1	0	0	0	5	2	3	0	24	0	2	4	0	2	0	16	0	0	2	0	6	0	0	0	0	5	6	0	1	1	3	0	3	1	0	0	0	0	12	0	13	12	1	2	22	12	7	2	3	0	0	0	31	49	0	2	7	17	2	17	24	0	6	0	1	0	0	2	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	41	3	16	0	7	15	6	36	0	26	16	6	4	8	3	3	8	1	3	17	3	7	22	1	51	4	11	16	64	18	0	59	23	0	86	86	86	82	86	82	84	86	82	82	82
Arab	8	26	10	6	2	7	0	2	2	5	3	10	6	1	0	1	11	0	4	0	1	10	0	3	12	1	1	11	0	2	2	3	1	2	7	0	0	0	0	1	15	14	6	1	0	1	0	1	8	0	0	0	1	0	0	5	5	15	3	17	22	5	12	2	7	7	3	1	69	32	2	1	10	21	4	42	0	0	3	1	5	3	0	2	0	1	0	0	0	0	0	0	0	5	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	15	14	2	33	2	31	32	3	19	19	3	18	14	15	3	0	1	14	3	6	3	14	10	60	4	34	6	75	29	0	81	15	8	104	104	104	104	104	104	104	104	104	104	104
EuAm	803	1381	708	332	102	448	103	194	209	118	124	189	70	7	0	22	160	11	1	0	652	526	110	212	348	230	191	505	63	131	75	320	52	2	687	26	0	21	11	81	49	274	58	15	2	95	31	167	40	0	2	0	0	0	151	233	644	582	400	414	1515	218	333	62	136	195	50	1	3983	878	8	1	255	706	411	2650	96	74	35	79	85	24	0	16	111	7	4	58	1	1	0	0	4	93	50	28	0	63	0	33	17	0	35	1	1	1	0	0	0	0	6	1	4	0	0	0	0	0	2	0	4	0	0	0	1	0	0	2	1	1	0	2	0	1	1946	638	878	105	1237	22	1044	1711	120	793	1168	552	582	821	657	132	44	41	516	99	587	113	678	102	3045	715	971	223	3363	1497	2	4168	685	101	4982	4976	4934	4870	4964	4826	4836	4924	4954	4862	4954
European	76	146	58	19	12	19	7	15	15	12	9	13	5	0	0	1	17	0	0	0	57	49	11	22	30	17	21	24	3	12	4	38	1	0	60	4	0	1	0	4	11	25	3	0	0	5	4	14	3	0	0	0	0	1	18	21	60	32	36	42	128	21	27	8	13	17	1	0	351	72	1	0	18	51	43	233	6	5	3	8	5	2	0	6	9	2	1	4	0	0	0	0	0	4	2	1	0	9	0	3	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	72	76	5	101	0	110	138	6	66	104	42	55	68	73	7	5	4	33	5	44	11	63	14	260	75	78	11	267	157	0	335	74	15	424	424	424	424	424	424	424	424	424	424	424
Global	1184	2334	1043	576	224	812	140	294	349	339	217	321	216	36	29	49	409	23	45	4	939	724	184	338	630	444	276	977	113	206	192	516	79	56	1025	70	19	35	20	178	122	541	140	125	3	134	47	283	160	1	8	3	18	2	298	425	950	1185	580	762	2424	399	620	144	301	373	129	30	5534	1550	97	11	561	1218	577	3999	176	103	70	132	172	121	2	37	182	13	10	136	1	17	1	4	5	148	67	33	1	142	60	46	29	3	46	2	1	17	1	4	3	2	11	1	6	1	1	5	11	4	11	4	6	3	1	1	1	1	1	3	1	2	1	2	13	1	3023	940	1282	252	1909	40	1764	2959	276	1545	1928	823	967	1266	1095	293	97	117	1040	214	994	299	1143	268	4361	1007	1486	350	4990	2114	2	6028	1008	166	8644	8608	8620	7192	8234	7446	8472	8616	7204	7106	7202
Greek	44	121	33	27	9	61	3	13	10	13	7	28	10	0	0	1	16	4	0	0	16	17	13	5	13	45	9	63	8	8	13	12	4	0	34	0	0	3	2	14	2	45	12	3	0	6	1	7	8	0	3	0	0	0	13	30	22	71	18	36	97	11	59	15	24	20	4	0	0	0	0	0	2	66	14	162	2	1	3	8	9	1	0	4	0	0	0	0	0	0	0	0	0	8	6	0	0	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	136	18	35	4	113	0	54	178	4	147	53	30	29	51	23	4	0	8	122	9	34	29	32	67	0	0	0	0	0	0	0	0	0	0	400	366	420	0	302	306	436	438	0	0	0
India	59	54	26	46	1	50	0	12	0	9	16	5	22	0	0	0	22	0	0	0	24	8	13	0	16	9	3	56	17	4	0	39	1	0	20	0	0	0	2	5	7	33	23	1	0	6	1	29	7	0	0	0	0	0	13	3	19	51	1	61	72	5	40	16	36	6	1	0	60	34	0	0	1	13	2	42	0	1	7	1	1	2	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	26	6	1	18	0	42	77	5	67	85	15	12	27	64	6	3	26	20	12	48	35	55	1	12	2	10	2	16	10	0	21	5	0	322	324	324	94	96	94	276	324	26	26	26
Italian	78	145	66	34	16	67	10	33	27	21	21	27	13	0	0	3	19	3	0	1	45	32	12	24	32	59	7	92	7	17	15	18	6	1	51	2	0	4	0	20	13	69	5	5	0	8	5	27	7	0	1	0	0	0	29	22	40	100	33	62	138	22	61	9	35	26	6	1	0	0	0	0	19	91	30	237	9	3	6	12	13	8	1	0	16	1	3	17	0	1	0	0	0	16	3	0	0	7	0	4	5	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	121	229	22	115	97	43	61	43	83	22	11	8	137	10	64	27	48	27	0	0	0	0	0	0	0	0	0	0	584	584	584	0	518	0	584	584	0	0	0
Mexican	11	82	4	6	3	36	1	0	4	7	11	6	3	0	1	0	32	1	0	0	9	7	2	4	12	3	4	45	0	3	56	10	3	0	5	4	0	0	4	4	0	13	8	3	0	1	0	5	3	0	0	0	0	0	16	6	26	40	2	9	79	11	7	0	7	4	1	0	176	31	0	1	9	17	10	144	4	0	0	3	7	1	0	0	0	0	0	2	0	1	0	0	0	4	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	5	65	28	71	1	16	125	29	13	25	6	9	64	5	30	1	2	14	1	20	23	12	21	141	32	28	7	138	70	0	175	12	21	208	208	208	208	208	208	208	208	208	208	208
