#Ethnicity/Country	A*01	A*02	A*03	A*11	A*23	A*24	A*25	A*26	A*29	A*30	A*31	A*32	A*33	A*34	A*36	A*66	A*68	A*69	A*74	A*80	n
AFA	7	36	9	1	12	4	0	6	6	20	2	4	9	5	0	3	14	0	2	1	141
ARGENTINA	37	101	23	17	11	30	2	12	10	27	26	14	4	0	0	0	34	0	0	0	348
ASI	6	56	8	58	1	38	1	9	7	7	8	0	24	5	0	0	2	0	0	0	230
AUSTRIA	4	6	1	3	2	7	0	4	1	3	1	2	3	0	1	0	2	0	0	0	40
BRAZIL	22	62	15	9	19	25	3	12	9	22	24	6	10	2	1	0	13	0	5	1	260
CHINA	15	286	19	277	2	155	0	24	3	33	20	5	82	1	0	0	6	0	2	0	930
CZECH	41	90	44	15	11	29	14	14	8	5	9	11	6	0	0	3	12	1	0	0	313
EGYPT	14	8	4	1	2	8	0	4	0	3	1	1	3	0	0	2	4	1	0	0	56
EUR	57	112	48	27	8	39	10	14	18	15	13	12	14	3	0	0	23	0	1	0	414
GERMANY	37	67	46	18	9	36	4	17	4	8	4	8	5	0	0	0	6	0	1	0	270
Global	306	1030	289	470	106	481	35	141	93	185	135	91	185	17	5	16	170	8	17	2	3782
GREECE	10	28	11	9	2	11	0	8	1	5	1	6	2	0	0	1	4	1	0	0	100
HIS	14	72	9	11	5	37	0	9	13	10	16	5	6	0	1	2	25	0	1	0	236
ITALY	22	68	34	11	9	39	1	4	12	20	7	8	8	0	0	2	16	1	2	0	264
KUWAIT	19	27	7	9	8	16	0	2	0	4	3	4	5	1	0	1	5	4	0	0	115
OTHER	0	3	4	4	2	2	0	1	0	1	0	2	2	0	0	0	1	0	0	0	22
SWITZERLAND	1	8	7	0	3	5	0	1	1	2	0	3	2	0	2	2	3	0	3	0	43
