#Ethnicity	A*01	A*02	A*03	A*11	A*23	A*24	A*25	A*26	A*29	A*30	A*31	A*32	A*33	A*34	A*36	A*66	A*68	A*69	A*74	A*80	n
AfAm	37	171	64	13	58	24	3	6	23	116	7	17	54	18	28	15	91	1	40	2	788
API	5	22	4	15	1	22	0	1	0	1	1	0	5	8	0	0	1	0	0	0	86
Arab	8	26	10	6	2	7	0	2	2	5	3	10	6	1	0	1	11	0	4	0	104
EuAm	803	1381	708	332	102	448	103	194	209	118	124	189	70	7	0	22	160	11	1	0	4982
European	76	146	58	19	12	19	7	15	15	12	9	13	5	0	0	1	17	0	0	0	424
Global	1184	2334	1043	576	224	812	140	294	349	339	217	321	216	36	29	49	409	23	45	4	8644
Greek	44	121	33	27	9	61	3	13	10	13	7	28	10	0	0	1	16	4	0	0	400
India	59	54	26	46	1	50	0	12	0	9	16	5	22	0	0	0	22	0	0	0	322
Italian	78	145	66	34	16	67	10	33	27	21	21	27	13	0	0	3	19	3	0	1	584
Mexican	11	82	4	6	3	36	1	0	4	7	11	6	3	0	1	0	32	1	0	0	208
Spanish	54	139	60	47	17	46	12	13	51	32	11	23	14	1	0	4	25	3	0	0	552
Thai	1	22	0	28	0	17	0	0	0	1	1	1	13	0	0	0	0	0	0	0	84
USA_Hispanic	8	25	10	3	3	15	1	5	8	4	6	2	1	1	0	2	15	0	0	1	110
