#country_of_birth	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*59	B*67	B*70	B*73	B*78	B*81	B*82	n
Afghanistan	6	9	7	0	7	11	3	21	3	8	0	17	6	0	14	0	0	0	2	1	8	13	18	3	3	5	1	6	10	0	0	0	0	0	0	0	182
Algeria	9	10	9	10	5	12	4	5	2	3	2	3	7	0	16	5	0	0	0	13	8	13	3	8	0	2	0	6	7	0	0	0	0	2	0	0	164
Angola	11	4	0	6	15	2	1	5	0	0	1	0	0	5	11	2	0	0	0	2	0	4	0	11	0	1	0	4	9	0	0	0	0	0	3	0	97
Antigua and Barbuda	2	1	0	6	6	0	1	5	0	0	0	1	0	5	4	3	0	0	0	2	0	0	0	10	0	0	0	2	4	0	0	0	0	0	1	0	53
Argentina	40	28	3	11	11	8	11	11	1	8	2	8	7	0	38	1	0	1	0	9	0	11	2	0	0	4	1	5	2	0	0	0	0	0	0	0	223
Australia	273	225	38	80	108	66	61	94	25	21	22	131	10	0	320	14	1	8	0	31	15	64	8	3	0	29	7	63	9	0	0	0	1	0	0	0	1727
Austria	42	31	9	10	30	19	10	31	6	7	5	27	5	0	50	2	0	1	0	7	3	22	5	2	0	10	3	17	2	0	0	0	0	0	0	0	356
Bahrain	14	7	1	3	5	4	3	10	3	0	0	6	0	1	2	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	65
Bangladesh	31	5	9	1	84	4	11	36	19	12	0	19	0	0	73	0	0	0	0	1	3	12	29	0	1	7	0	39	15	0	0	0	0	0	0	0	411
Barbados	45	16	2	5	78	13	4	23	2	3	2	8	1	32	35	28	0	0	0	6	6	13	0	76	0	0	2	18	25	0	0	0	0	4	10	0	457
Belgium	45	37	4	8	25	17	16	24	5	3	6	12	3	0	33	1	0	1	0	2	3	14	3	1	0	3	0	13	3	0	0	0	0	0	0	0	282
Bosnia and Herzegovina	3	11	2	2	8	9	2	6	1	2	1	1	3	0	4	1	0	0	0	0	1	11	2	0	0	0	1	2	0	0	0	0	0	0	0	0	73
Brazil	42	34	8	34	37	21	12	47	4	6	7	21	5	6	63	14	0	0	0	12	14	30	2	11	2	1	2	14	16	0	0	0	0	0	1	0	466
Bulgaria	5	9	3	6	6	12	10	12	1	2	3	5	1	0	20	0	0	0	0	3	1	19	2	1	0	2	3	1	1	0	0	0	0	0	0	0	128
Cameroon	12	4	3	1	9	3	1	4	0	1	1	0	0	6	10	5	0	0	0	6	0	1	0	5	0	1	0	4	11	0	0	0	0	0	2	0	90
Canada	209	192	20	44	89	51	61	78	20	21	15	92	9	1	241	7	3	2	1	20	11	59	8	4	0	23	4	62	10	0	0	0	0	0	0	0	1357
Caribbean	417	158	35	107	596	145	35	349	19	26	42	82	29	280	343	205	4	1	3	128	38	44	38	597	0	21	2	198	375	0	0	0	0	27	81	0	4425
Central African Republic	7	5	1	0	1	1	0	10	1	2	0	1	2	4	9	1	0	1	0	0	3	4	4	4	0	0	0	7	5	0	0	0	0	0	2	0	75
Channel Islands	35	30	5	5	11	15	12	13	3	2	1	16	0	0	40	3	0	0	0	5	1	6	2	0	0	4	0	7	1	0	0	0	0	0	0	0	217
