#Ethnicity/Country	C*01	C*02	C*03	C*04	C*05	C*06	C*07	C*08	C*12	C*14	C*15	C*16	C*17	C*18	n
AFA	1	16	16	24	3	12	23	8	4	4	4	11	10	5	141
ARGENTINA	18	7	37	62	20	33	87	21	25	3	15	15	5	0	348
ASI	33	2	38	24	4	11	64	16	8	6	20	2	1	0	229
AUSTRIA	1	0	4	4	0	4	10	1	6	1	4	3	2	0	40
BRAZIL	10	15	28	34	8	28	61	19	15	3	12	15	10	2	260
CHINA	170	2	248	54	5	51	176	104	42	42	36	2	0	0	932
CZECH	21	14	31	44	20	32	92	7	46	3	12	5	6	0	333
EGYPT	1	1	1	9	0	3	12	5	13	0	0	4	7	0	56
EUR	14	26	56	51	33	29	118	18	27	6	14	16	6	0	414
GERMANY	11	19	22	44	12	23	82	3	30	4	10	9	1	0	270
Global	319	141	556	492	133	288	904	236	274	87	167	123	75	8	3803
GREECE	4	8	6	20	3	5	19	2	13	5	8	3	4	0	100
HIS	19	8	34	36	11	12	56	20	13	2	7	14	4	0	236
ITALY	10	17	24	48	12	19	60	9	19	6	16	14	10	0	264
KUWAIT	4	1	8	23	0	20	30	2	8	2	5	6	6	0	115
OTHER	0	0	1	7	0	2	3	0	3	0	3	2	1	0	22
SWITZERLAND	2	5	2	8	2	4	11	1	2	0	1	2	2	1	43
