#Ethnicity	C*01	C*02	C*03	C*04	C*05	C*06	C*07	C*08	C*12	C*14	C*15	C*16	C*17	C*18	n
AfAm	5	73	57	163	34	66	156	41	15	17	16	60	60	25	788
API	12	0	13	12	1	2	22	12	7	2	3	0	0	0	86
Arab	0	5	5	15	3	17	22	5	12	2	7	7	3	1	104
EuAm	151	233	644	582	400	414	1515	218	333	62	136	195	50	1	4934
European	18	21	60	32	36	42	128	21	27	8	13	17	1	0	424
Global	298	425	950	1185	580	762	2424	399	620	144	301	373	129	30	8620
Greek	13	30	22	71	18	36	97	11	59	15	24	20	4	0	420
India	13	3	19	51	1	61	72	5	40	16	36	6	1	0	324
Italian	29	22	40	100	33	62	138	22	61	9	35	26	6	1	584
Mexican	16	6	26	40	2	9	79	11	7	0	7	4	1	0	208
Spanish	16	31	44	86	50	45	135	31	50	11	17	33	3	0	552
Thai	13	0	10	12	0	5	25	9	6	2	2	0	0	0	84
USA_Hispanic	12	1	10	21	2	3	35	13	3	0	5	5	0	2	112
