#country_of_birth	C*01	C*02	C*03	C*04	C*05	C*06	C*07	C*08	C*12	C*14	C*15	C*16	C*17	C*18	n
Afghanistan	12	7	18	31	3	24	40	4	41	4	17	12	5	1	219
Algeria	3	8	11	22	9	27	49	10	13	4	9	11	3	0	179
Angola	0	5	13	22	6	10	17	6	1	1	2	4	7	5	99
Antigua and Barbuda	0	2	4	16	2	7	6	6	0	1	1	8	7	3	63
Argentina	14	14	19	24	23	12	89	10	20	5	8	11	6	0	255
Australia	66	56	257	166	206	164	605	78	77	12	45	83	6	0	1821
Austria	15	24	59	54	27	40	107	10	26	6	6	7	3	0	384
Bahrain	2	4	9	12	3	4	23	3	4	0	5	0	1	0	70
Bangladesh	16	7	33	56	2	67	141	66	59	9	21	3	0	0	480
Barbados	4	14	47	117	18	39	101	17	11	12	1	66	39	14	500
Belgium	16	12	31	35	21	31	109	8	15	5	7	14	3	0	307
Bosnia and Herzegovina	3	4	11	8	3	7	20	2	12	1	4	2	0	0	77
Brazil	13	25	49	87	33	49	137	35	25	11	14	32	9	4	523
Bulgaria	7	21	10	19	6	6	29	6	16	3	10	4	0	0	137
Cameroon	1	2	6	14	4	17	31	3	2	4	1	3	6	2	96
Canada	59	53	188	141	166	121	483	45	56	16	29	68	6	0	1431
Caribbean	50	125	446	1124	150	370	1112	203	146	96	54	444	341	158	4819
Central African Republic	1	0	4	15	5	11	21	0	6	1	2	5	6	4	81
Channel Islands	8	13	28	20	24	21	87	5	10	1	6	9	0	0	232
Chile	4	10	14	19	14	12	57	8	10	1	6	9	2	1	167
China	132	6	186	55	13	65	133	92	34	35	41	4	0	0	796
Colombia	39	11	37	80	42	23	111	35	29	2	14	25	6	0	454
Congo	2	4	19	60	10	32	79	17	3	5	3	19	27	18	298
Croatia	5	4	5	14	2	11	22	2	12	3	3	4	0	0	87
Cyprus	13	29	74	87	44	53	162	35	65	7	24	30	9	0	632
Czech Republic	9	14	17	41	15	27	65	8	35	1	7	5	2	0	246
Denmark	8	25	73	50	48	44	149	10	23	8	4	11	2	0	455
Ecuador	3	0	2	15	3	3	15	11	2	1	7	5	2	0	69
Egypt	8	22	42	74	52	62	176	30	67	8	18	25	25	1	610
England	25776	27381	100718	65234	83772	67857	260265	27428	27766	7201	13464	34908	2952	259	744981
Eritrea	2	2	9	7	1	9	37	3	4	1	4	7	7	2	95
Ethiopia	3	6	5	16	2	26	45	9	2	1	9	4	13	5	146
Fiji	4	1	2	16	1	7	21	2	6	1	6	3	0	0	70
Finland	19	14	64	56	12	23	93	1	10	1	10	2	0	0	305
France	61	88	179	217	141	137	456	81	119	27	48	107	10	0	1671
Gambia	2	1	12	12	0	9	15	2	3	0	1	9	4	1	71
Germany	134	204	573	450	346	395	1425	120	249	41	70	151	15	1	4174
Ghana	5	47	136	521	26	43	305	68	17	44	3	224	147	84	1670
Gibraltar	7	2	24	15	16	12	47	9	8	1	0	10	0	0	151
Greece	10	23	14	51	11	23	55	7	27	6	13	13	6	0	259
Hong Kong	211	13	246	78	46	62	312	133	66	43	37	20	1	0	1268
Hungary	6	14	20	26	13	18	53	9	26	1	3	7	2	0	198
India	282	104	609	1030	233	976	2099	213	945	205	694	271	56	4	7721
Indonesia	13	3	15	19	2	4	45	9	1	2	1	3	0	0	117
Iran	50	27	43	201	12	105	174	39	181	38	55	61	29	0	1015
Iraq	19	18	33	95	15	69	120	21	97	23	37	49	45	0	641
Israel	9	9	9	26	3	15	33	9	40	2	3	6	3	0	167
Italy	53	64	94	290	92	183	421	56	163	35	58	66	23	0	1598
Ivory Coast	0	2	3	17	3	2	10	4	0	1	0	8	7	0	57
Japan	77	2	114	23	2	10	104	28	47	70	8	4	0	0	489
Kenya	81	53	293	415	129	437	841	80	394	70	259	115	38	9	3214
Kuwait	5	1	7	6	2	8	17	2	4	0	2	8	0	0	62
Latvia	2	7	13	15	4	6	34	0	12	0	1	2	3	0	99
Lebanon	3	7	13	25	6	13	30	16	16	1	6	7	6	0	149
Libya	5	12	17	23	14	28	64	4	19	3	9	11	8	0	217
Lithuania	9	12	18	16	3	20	40	4	13	2	1	3	1	0	142
Malawi	6	3	26	24	11	25	60	10	22	2	7	5	5	2	208
Malaysia	137	26	243	118	46	102	366	93	72	34	47	16	1	0	1301
Malta	13	32	76	83	68	76	232	23	48	8	23	33	2	0	717
Mauritius	44	11	82	100	13	74	180	45	106	14	64	25	5	4	767
Mexico	11	3	11	29	4	5	43	16	11	1	4	8	1	0	147
Morocco	1	11	3	32	12	26	43	8	14	6	9	9	2	0	176
Mozambique	3	0	9	13	4	7	22	5	7	1	4	3	2	1	81
Myanmar (Burma)	16	1	26	25	11	28	72	16	30	6	8	3	1	0	243
Nepal	10	0	30	89	1	14	85	44	14	1	9	0	0	0	297
Netherlands	27	43	178	106	82	76	340	17	38	10	16	21	9	1	964
New Zealand	43	56	177	117	147	121	472	63	58	6	16	70	2	0	1348
Nigeria	11	54	198	590	44	121	473	107	41	38	6	196	135	74	2088
Northern Ireland	183	177	677	506	708	525	2279	301	195	27	67	229	24	1	5899
Norway	6	15	52	28	31	25	80	4	5	5	6	4	0	0	261
Pakistan	90	31	189	403	45	386	690	56	392	89	280	120	18	0	2789
Palestine	3	4	8	17	9	12	27	4	14	3	4	7	5	0	117
Peru	14	6	10	26	7	10	49	9	6	2	5	4	0	0	148
Philippines	28	0	82	175	4	3	229	48	24	4	42	0	0	0	639
Poland	56	91	128	160	66	147	335	37	156	13	27	27	12	0	1255
Portugal	19	37	52	89	45	59	163	47	32	17	25	36	5	0	626
Republic of Ireland	285	211	911	586	1122	845	3912	579	343	50	97	487	20	0	9448
Romania	5	7	9	20	10	8	32	6	22	3	1	2	2	0	127
Russia	15	16	34	39	15	44	83	7	40	1	5	2	3	0	304
Scotland	2708	2351	8572	6144	8525	7419	29715	3610	2634	471	1029	3750	198	5	77131
Serbia/Montenegro	1	11	4	19	5	9	26	3	15	3	9	3	1	0	109
Seychelles	3	2	6	9	3	11	26	6	4	4	2	6	0	2	84
Sierra Leone	2	16	40	106	6	26	62	20	12	4	3	72	46	8	423
Singapore	51	18	142	102	66	83	336	51	45	22	30	30	3	0	979
Slovakia	2	6	4	13	3	8	17	3	9	2	1	1	0	0	69
Somalia	3	9	7	23	5	20	62	8	20	3	3	38	24	4	229
South Africa	82	119	289	298	219	253	805	138	171	38	68	117	33	10	2640
Spain	13	36	56	84	70	54	154	56	53	15	26	69	2	0	688
Sri Lanka	50	13	161	178	25	194	415	42	165	52	100	29	2	0	1426
Sudan	1	10	10	32	6	33	55	9	23	0	10	13	12	1	215
Sweden	11	20	82	39	41	35	160	5	13	3	8	10	1	0	428
Switzerland	16	18	44	44	25	35	92	8	13	14	11	15	5	0	340
Syria	0	1	3	10	2	10	10	4	6	2	4	4	4	0	60
Tanzania	21	15	78	99	27	104	217	21	102	24	56	37	10	3	814
Thailand	33	0	35	17	5	11	60	20	7	6	7	1	0	0	202
The Guianas	19	9	50	114	21	40	161	29	41	15	30	57	20	14	620
Turkey	23	17	20	69	20	25	63	11	52	9	22	19	3	0	353
Uganda	24	16	92	151	32	184	309	31	121	31	73	61	27	5	1157
Ukraine	6	5	8	14	5	15	32	4	26	1	1	2	2	0	121
United Kingdom	35	22	112	87	99	74	282	44	35	5	12	44	2	2	855
USA	92	106	296	315	236	256	837	153	208	38	52	99	25	2	2715
Venezuela	7	5	12	16	6	13	31	7	7	1	2	9	3	0	119
Vietnam	32	1	29	15	1	7	22	23	5	2	4	0	0	0	141
Wales	1227	1604	5759	3211	5166	3846	15410	1709	1339	366	835	1873	118	3	42466
Yemen	8	3	19	23	7	33	61	8	21	2	9	3	5	1	203
Zambia	19	16	52	51	30	50	159	25	20	3	7	19	11	8	470
Zimbabwe	35	33	148	170	103	140	424	58	58	10	29	71	75	48	1402
