#Ethnicity/Country	DPB1*01	DPB1*02	DPB1*03	DPB1*04	DPB1*05	DPB1*05/DPB1*140/DPB1*170/DPB1*171/DPB1*223/DPB1*226/DPB1*22/DPB1*284/DPB1*300/DPB1*301/DPB1*317/DPB1*330/DPB1*331/DPB1*38/DPB1*395/DPB1*473/DPB1*495/DPB1*527/DPB1*97	DPB1*06	DPB1*09	DPB1*10	DPB1*104	DPB1*105	DPB1*106	DPB1*11	DPB1*124	DPB1*126	DPB1*13/DPB1*107	DPB1*131	DPB1*135	DPB1*138	DPB1*14	DPB1*140/DPB1*170/DPB1*171/DPB1*223/DPB1*226/DPB1*22/DPB1*284/DPB1*300/DPB1*301/DPB1*317/DPB1*330/DPB1*331/DPB1*38/DPB1*395/DPB1*473/DPB1*495/DPB1*527/DPB1*97	DPB1*15	DPB1*16	DPB1*17	DPB1*18	DPB1*19	DPB1*20	DPB1*21	DPB1*23	DPB1*26	DPB1*27	DPB1*29	DPB1*296	DPB1*30	DPB1*31	DPB1*338	DPB1*34	DPB1*351	DPB1*369	DPB1*39	DPB1*398	DPB1*40	DPB1*41	DPB1*414	DPB1*416	DPB1*45	DPB1*46	DPB1*48	DPB1*50	DPB1*519	DPB1*55	DPB1*71	DPB1*85	DPB1*88	n
AFA	38	16	3	21	2	0	0	0	1	6	20	1	5	0	0	8	4	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	139
ARGENTINA	15	44	20	158	13	0	4	3	5	11	15	0	7	0	6	12	0	0	2	12	0	0	3	4	0	4	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344
ASI	9	41	8	48	66	0	0	1	0	5	0	0	1	0	0	17	0	5	0	4	0	0	0	5	0	2	0	8	3	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	230
AUSTRIA	1	7	2	18	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
BRAZIL	23	37	14	101	4	0	2	2	5	11	9	0	6	1	0	9	5	0	0	6	0	1	1	12	0	1	0	0	1	0	2	1	0	1	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	260
CHINA	4	153	35	61	264	1	0	2	1	4	0	0	0	0	0	57	0	22	0	22	1	2	0	8	0	3	0	16	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	1	0	668
CZECH	11	46	21	188	6	0	4	3	4	10	0	0	3	0	1	6	0	0	0	7	0	2	1	10	0	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334
EGYPT	5	10	1	28	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	56
EUR	24	60	31	208	7	0	3	4	10	6	3	0	14	0	0	10	0	0	0	10	0	4	5	7	1	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414
GERMANY	11	33	20	158	3	0	2	2	6	8	0	0	0	0	0	4	0	0	0	6	0	1	2	8	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270
Global	169	558	188	1319	373	1	19	19	51	96	57	1	46	3	7	148	11	27	2	99	1	13	12	82	16	17	8	24	18	7	4	1	2	3	2	1	1	1	1	5	1	1	1	2	1	1	1	1	1	4	1	1	2	1	3432
GREECE	0	19	9	52	1	0	1	0	7	3	0	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	100
HIS	12	29	8	139	5	0	3	0	4	6	5	0	3	2	0	3	1	0	0	6	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	236
ITALY	7	30	11	65	1	0	0	0	8	6	1	0	5	0	0	9	0	0	0	8	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	161
KUWAIT	4	19	2	55	0	0	0	1	0	8	0	0	0	0	0	4	0	0	0	8	0	3	0	4	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	115
OTHER	0	3	2	7	1	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
SWITZERLAND	5	11	1	12	0	0	0	0	0	2	4	0	2	0	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
