#Ethnicity	DPB1*01	DPB1*02	DPB1*03	DPB1*04	DPB1*05	DPB1*06	DPB1*09	DPB1*10	DPB1*104	DPB1*105	DPB1*106	DPB1*107	DPB1*11	DPB1*124	DPB1*126	DPB1*13	DPB1*130	DPB1*131	DPB1*133	DPB1*135	DPB1*138	DPB1*14	DPB1*15	DPB1*16	DPB1*162	DPB1*17	DPB1*18	DPB1*19	DPB1*20	DPB1*21	DPB1*23	DPB1*25	DPB1*259	DPB1*26	DPB1*29	DPB1*296	DPB1*30	DPB1*31	DPB1*34	DPB1*35	DPB1*350	DPB1*37	DPB1*38	DPB1*39	DPB1*40	DPB1*414	DPB1*416	DPB1*417	DPB1*45	DPB1*46	DPB1*461	DPB1*463	DPB1*47	DPB1*49	DPB1*51	DPB1*519	DPB1*52	DPB1*59	DPB1*63	DPB1*81	DPB1*85	DPB1*90	n
AfAm	205	112	23	130	6	5	1	5	21	74	1	0	25	1	1	26	0	13	1	0	0	4	3	1	1	25	58	1	2	0	0	0	0	0	1	0	3	0	1	0	0	0	0	5	11	1	0	4	0	0	1	1	0	1	0	1	0	0	0	0	13	0	788
API	7	17	2	17	24	0	6	0	1	0	0	2	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	86
Arab	10	21	4	42	0	0	3	1	5	3	0	2	0	1	0	0	0	0	0	0	0	5	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104
EuAm	255	706	411	2650	96	74	35	79	85	24	0	16	111	7	4	58	1	1	0	0	4	93	50	28	0	63	0	33	17	0	35	1	1	1	0	0	0	0	6	1	4	0	0	0	0	0	2	0	4	0	0	0	1	0	0	2	1	1	0	2	0	1	4964
European	18	51	43	233	6	5	3	8	5	2	0	6	9	2	1	4	0	0	0	0	0	4	2	1	0	9	0	3	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424
Global	561	1218	577	3999	176	103	70	132	172	121	2	37	182	13	10	136	1	17	1	4	5	148	67	33	1	142	60	46	29	3	46	2	1	17	1	4	3	2	11	1	6	1	1	5	11	4	11	4	6	3	1	1	1	1	1	3	1	2	1	2	13	1	8234
Greek	2	66	14	162	2	1	3	8	9	1	0	4	0	0	0	0	0	0	0	0	0	8	6	0	0	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	302
India	1	13	2	42	0	1	7	1	1	2	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96
Italian	19	91	30	237	9	3	6	12	13	8	1	0	16	1	3	17	0	1	0	0	0	16	3	0	0	7	0	4	5	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	518
Mexican	9	17	10	144	4	0	0	3	7	1	0	0	0	0	0	2	0	1	0	0	0	4	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208
Spanish	31	108	24	258	10	12	4	13	21	4	0	0	19	0	0	8	0	1	0	0	1	5	2	3	0	13	0	4	2	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	548
Thai	1	8	5	17	13	0	0	1	1	1	0	7	0	0	0	18	0	0	0	1	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
USA_Hispanic	3	8	9	67	6	2	2	1	3	1	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112
