#country_of_birth	DQB1*02	DQB1*03	DQB1*04	DQB1*05	DQB1*06	n
Afghanistan	45	78	6	39	38	206
Algeria	34	51	3	33	40	161
Angola	17	21	4	20	26	88
Antigua and Barbuda	5	12	5	16	15	53
Argentina	39	97	12	42	47	237
Australia	304	611	33	300	432	1680
Austria	46	136	18	76	87	363
Bahrain	11	14	1	13	24	63
Bangladesh	94	166	3	116	79	458
Barbados	64	134	61	84	131	474
Belgium	46	96	7	48	86	283
Bosnia and Herzegovina	17	32	4	15	12	80
Brazil	79	173	22	80	113	467
Bulgaria	14	48	2	45	21	130
Cameroon	12	27	9	19	30	97
Canada	247	477	31	226	339	1320
Caribbean	729	1158	326	1062	1279	4554
Central African Republic	14	23	4	19	17	77
Channel Islands	44	79	6	40	53	222
Chile	22	71	11	26	27	157
China	83	341	53	107	155	739
Colombia	57	170	33	71	98	429
Congo	43	64	14	64	98	283
Croatia	8	31	1	26	16	82
Cyprus	107	231	6	160	100	604
Czech Republic	30	98	3	44	54	229
Denmark	72	171	9	64	117	433
Ecuador	4	38	6	11	9	68
Egypt	97	232	13	98	132	572
England	133790	250857	15686	114547	172743	687623
Eritrea	19	22	7	12	32	92
Ethiopia	40	34	4	23	25	126
Fiji	11	18	0	13	21	63
Finland	38	84	27	67	81	297
France	243	559	46	292	373	1513
Gambia	11	36	2	15	8	72
Germany	703	1409	116	655	1035	3918
Ghana	239	447	169	374	328	1557
Gibraltar	29	44	4	21	37	135
Greece	33	100	3	77	28	241
Hong Kong	147	497	56	228	256	1184
Hungary	41	60	9	43	39	192
India	1414	2162	119	1558	2015	7268
Indonesia	15	46	7	26	25	119
Iran	171	384	15	202	207	979
Iraq	128	289	11	106	89	623
Israel	26	77	2	26	30	161
Italy	250	624	35	338	245	1492
Ivory Coast	8	15	4	9	12	48
Japan	11	183	60	79	171	504
Kenya	560	964	64	635	827	3050
Kuwait	8	25	1	12	10	56
Latvia	13	36	6	21	25	101
Lebanon	18	58	4	33	28	141
Libya	40	63	6	32	53	194
Lithuania	24	55	6	19	31	135
Malawi	41	60	5	47	54	207
Malaysia	164	497	62	232	288	1243
Malta	114	236	22	119	161	652
Mauritius	120	221	22	166	193	722
Mexico	7	65	17	31	23	143
Morocco	30	63	7	17	40	157
Mozambique	13	26	0	18	16	73
Myanmar (Burma)	45	77	3	44	45	214
Nepal	28	104	3	93	46	274
Netherlands	156	322	31	166	253	928
New Zealand	235	439	34	195	344	1247
Nigeria	355	387	159	450	623	1974
Northern Ireland	1151	1759	86	893	1530	5419
Norway	41	97	8	36	67	249
Pakistan	687	731	47	525	645	2635
Palestine	16	42	4	18	21	101
Peru	18	75	14	22	23	152
Philippines	37	177	41	282	68	605
Poland	196	423	37	237	278	1171
Portugal	101	193	23	122	130	569
Republic of Ireland	1997	2726	163	1215	2497	8598
Romania	17	46	7	33	21	124
Russia	39	113	12	57	69	290
Scotland	15557	23719	1406	11285	18748	70715
Serbia/Montenegro	11	34	1	38	22	106
Seychelles	14	31	1	14	15	75
Sierra Leone	63	133	45	78	74	393
Singapore	168	341	28	154	237	928
Slovakia	9	19	2	18	13	61
Somalia	41	48	12	41	65	207
South Africa	411	837	86	462	644	2440
Spain	108	216	21	112	153	610
Sri Lanka	182	435	29	337	399	1382
Sudan	38	53	6	38	50	185
Sweden	65	127	21	56	134	403
Switzerland	47	114	13	52	93	319
Syria	6	30	2	10	9	57
Tanzania	148	260	17	164	193	782
Thailand	28	75	8	57	20	188
The Guianas	114	147	32	114	159	566
Turkey	39	149	7	75	70	340
Uganda	212	294	24	253	318	1101
Ukraine	20	49	6	16	22	113
United Kingdom	166	280	19	140	183	788
USA	407	929	55	471	654	2516
Venezuela	25	41	10	17	21	114
Vietnam	9	71	6	31	24	141
Wales	8118	14965	790	5929	9433	39235
Yemen	46	54	3	38	51	192
Zambia	84	122	14	89	139	448
Zimbabwe	243	376	77	286	345	1327
