#Ethnicity/Country	DRB1*01	DRB1*03	DRB1*04	DRB1*07	DRB1*08	DRB1*09	DRB1*10	DRB1*11	DRB1*12	DRB1*13	DRB1*14	DRB1*15	DRB1*16	n
AFA	11	23	11	12	7	2	1	14	4	26	3	23	4	141
ARGENTINA	21	34	43	34	40	13	4	52	6	42	22	20	17	348
ASI	8	12	25	19	19	18	11	18	29	9	16	44	2	230
AUSTRIA	3	3	5	2	1	1	0	10	2	6	1	3	3	40
BRAZIL	18	20	38	36	21	3	3	40	2	35	16	17	11	260
CHINA	12	45	95	48	54	140	11	48	114	49	82	157	57	912
CZECH	28	31	41	45	9	5	2	52	5	36	13	57	8	332
EGYPT	6	11	11	5	1	0	1	9	0	7	0	5	0	56
EUR	40	50	79	53	24	8	1	33	12	38	15	55	6	414
GERMANY	24	26	37	26	7	2	2	36	4	40	6	50	10	270
Global	220	327	528	356	231	196	49	423	192	368	215	511	167	3783
GREECE	5	6	14	7	1	0	5	27	1	9	5	6	14	100
HIS	12	12	74	21	30	2	5	13	3	18	20	14	12	236
ITALY	20	29	39	30	12	2	0	40	5	31	10	30	16	264
KUWAIT	6	21	13	10	3	0	2	17	3	17	5	13	5	115
OTHER	2	3	1	3	0	0	1	4	1	2	0	4	1	22
SWITZERLAND	4	1	2	5	2	0	0	10	1	3	1	13	1	43
