#Ethnicity	DRB1*01	DRB1*03	DRB1*04	DRB1*07	DRB1*08	DRB1*09	DRB1*10	DRB1*11	DRB1*12	DRB1*13	DRB1*14	DRB1*15	DRB1*16	n
AfAm	62	111	55	60	62	12	15	100	37	108	17	141	4	784
API	6	4	8	3	3	8	1	3	17	3	7	22	1	86
Arab	3	18	14	15	3	0	1	14	3	6	3	14	10	104
EuAm	552	582	821	657	132	44	41	516	99	587	113	678	102	4924
European	42	55	68	73	7	5	4	33	5	44	11	63	14	424
Global	823	967	1266	1095	293	97	117	1040	214	994	299	1143	268	8616
Greek	30	29	51	23	4	0	8	122	9	34	29	32	67	438
India	15	12	27	64	6	3	26	20	12	48	35	55	1	324
Italian	43	61	43	83	22	11	8	137	10	64	27	48	27	584
Mexican	6	9	64	5	30	1	2	14	1	20	23	12	21	208
Spanish	59	73	72	87	13	4	10	61	5	70	17	59	14	544
Thai	0	4	6	14	2	8	1	7	15	3	8	14	2	84
USA_Hispanic	5	9	37	11	9	1	0	13	1	7	9	5	5	112
