#country_of_birth	DRB1*01	DRB1*03	DRB1*04	DRB1*07	DRB1*08	DRB1*09	DRB1*10	DRB1*11	DRB1*12	DRB1*13	DRB1*14	DRB1*15	DRB1*16	n
Afghanistan	10	27	8	31	2	7	12	34	2	10	10	29	0	182
Algeria	15	20	22	27	1	2	0	15	0	28	3	21	5	159
Angola	6	12	5	18	2	1	2	14	4	12	0	16	3	95
Antigua and Barbuda	4	7	2	6	4	1	3	5	2	12	0	9	0	55
Argentina	31	36	33	31	10	4	4	16	2	21	6	33	3	230
Australia	218	242	294	267	33	23	8	71	29	185	36	268	16	1690
Austria	39	30	47	46	17	4	2	26	6	54	16	44	10	341
Bahrain	6	10	7	5	0	0	2	3	0	7	1	17	1	59
Bangladesh	14	9	16	147	1	4	39	8	62	15	14	92	1	422
Barbados	42	80	21	54	56	21	4	57	14	75	4	62	9	499
Belgium	41	42	29	41	8	3	1	25	2	49	6	43	1	291
Bosnia and Herzegovina	6	14	8	5	2	0	1	13	3	8	1	6	5	72
Brazil	37	49	58	85	17	5	8	48	8	71	9	51	15	461
Bulgaria	15	9	6	10	2	0	2	26	0	18	1	9	20	118
Cameroon	7	15	2	9	7	0	0	7	8	18	2	18	0	93
Canada	168	210	194	202	32	13	10	67	20	158	24	206	16	1320
Caribbean	371	636	168	498	354	91	96	527	185	765	64	789	64	4608
Central African Republic	5	9	5	9	6	0	4	6	0	8	4	11	0	67
Channel Islands	20	37	31	24	5	5	1	10	3	19	9	38	7	209
Chile	17	17	16	21	11	3	2	14	3	20	6	10	3	143
China	15	61	73	67	41	104	12	44	97	39	23	92	14	682
Colombia	48	46	60	57	25	8	4	22	2	56	18	46	15	407
Congo	19	35	10	35	15	3	3	48	13	34	5	55	2	277
Croatia	10	5	3	8	1	0	3	13	0	12	4	7	8	74
Cyprus	60	82	61	72	6	7	13	49	10	55	14	63	47	539
Czech Republic	25	22	26	34	3	3	7	28	3	31	5	31	7	225
Denmark	52	62	62	58	10	12	2	26	11	59	8	64	2	428
Ecuador	7	2	4	6	6	5	3	3	1	7	7	4	4	59
Egypt	55	75	71	60	14	3	10	56	11	87	14	62	6	524
