#country_of_birth	DRB3*01	DRB3*02	DRB3*03	DRB3*99	n
Afghanistan	7	84	5	97	193
Algeria	23	29	20	75	147
Angola	9	26	10	50	95
Antigua and Barbuda	10	15	10	35	70
Argentina	40	45	5	92	182
Australia	293	233	76	620	1222
Austria	51	81	15	149	296
Bahrain	10	12	2	24	48
Bangladesh	7	35	66	122	230
Barbados	93	110	44	258	505
Belgium	56	66	14	138	274
Bosnia and Herzegovina	14	29	2	44	89
Brazil	71	115	32	222	440
Bulgaria	17	42	7	69	135
Cameroon	17	23	6	54	100
Canada	249	209	60	529	1047
Caribbean	703	1121	492	2508	4824
Central African Republic	12	14	5	37	68
Channel Islands	36	46	6	88	176
Chile	23	36	8	67	134
China	35	139	89	296	559
Colombia	65	79	16	173	333
Congo	38	83	23	154	298
Croatia	7	32	4	46	89
Cyprus	78	156	15	263	512
Czech Republic	38	47	8	95	188
Denmark	82	67	24	172	345
Ecuador	16	7	4	32	59
Egypt	91	146	32	274	543
England	122769	102476	29064	259893	514202
Eritrea	4	18	16	41	79
Ethiopia	13	22	12	49	96
Fiji	6	15	1	21	43
Finland	49	27	10	86	172
France	218	371	83	692	1364
Gambia	8	29	11	49	97
Germany	679	696	158	1577	3110
Ghana	352	261	151	840	1604
Gibraltar	22	33	14	72	141
Greece	18	105	10	137	270
Hong Kong	74	212	123	449	858
Hungary	35	52	11	104	202
India	562	1831	389	2913	5695
Indonesia	8	19	17	50	94
Iran	79	339	52	494	964
Iraq	40	290	27	369	726
Israel	18	58	10	84	170
Italy	136	542	86	776	1540
Ivory Coast	9	7	8	27	51
Japan	31	41	45	135	252
Kenya	244	817	145	1266	2472
Kuwait	6	8	3	20	37
Latvia	15	21	6	47	89
Lebanon	11	55	11	76	153
Libya	35	43	8	91	177
Lithuania	13	35	3	51	102
Malawi	21	41	12	88	162
Malaysia	96	228	115	483	922
Malta	84	142	44	269	539
Mauritius	37	143	52	251	483
Mexico	17	20	7	41	85
Morocco	28	41	17	89	175
Mozambique	5	21	7	35	68
Myanmar (Burma)	14	37	22	81	154
Nepal	7	30	63	129	229
Netherlands	170	180	65	422	837
New Zealand	229	175	73	490	967
Nigeria	297	552	186	1114	2149
Northern Ireland	1035	599	223	1884	3741
Norway	47	39	14	104	204
Pakistan	151	942	89	1200	2382
Palestine	13	35	3	52	103
Peru	23	20	7	51	101
Philippines	6	67	99	241	413
Poland	196	282	38	520	1036
Portugal	84	136	24	253	497
Republic of Ireland	1934	859	337	3180	6310
Romania	20	35	7	66	128
Russia	35	66	12	121	234
Scotland	14200	8054	2752	25393	50399
Serbia/Montenegro	11	33	4	50	98
Seychelles	6	15	9	40	70
Sierra Leone	71	110	36	229	446
Singapore	124	157	58	357	696
Slovakia	8	10	1	21	40
Somalia	20	41	46	126	233
South Africa	395	414	161	1009	1979
Spain	100	151	30	293	574
Sri Lanka	105	175	91	405	776
Sudan	28	44	16	101	189
Sweden	77	65	29	172	343
Switzerland	49	78	20	147	294
Syria	4	24	2	30	60
Tanzania	67	196	31	310	604
Thailand	8	37	29	90	164
The Guianas	79	128	58	282	547
Turkey	30	121	13	170	334
Uganda	96	302	64	499	961
Ukraine	14	34	2	52	102
United Kingdom	156	111	32	308	607
USA	384	512	110	1020	2026
Venezuela	25	15	5	49	94
Vietnam	4	21	30	70	125
Wales	7680	5345	1513	14811	29349
Yemen	28	49	11	92	180
Zambia	69	77	26	180	352
Zimbabwe	278	277	114	719	1388
