#country_of_birth	DRB5*01	DRB5*02	DRB5*99	n
Afghanistan	7	3	11	21
Algeria	18	5	23	46
Angola	17	2	19	38
Antigua and Barbuda	9	0	9	18
Argentina	32	1	35	68
Australia	261	17	274	552
Austria	40	12	51	103
Bahrain	17	4	21	42
Bangladesh	57	6	65	128
Barbados	66	9	73	148
Belgium	37	1	41	79
Bosnia and Herzegovina	5	7	12	24
Brazil	48	17	65	130
Bulgaria	5	22	26	53
Cameroon	21	0	22	43
Canada	207	18	224	449
Caribbean	748	70	864	1682
Central African Republic	6	1	4	11
Channel Islands	37	6	44	87
Chile	11	1	12	24
China	103	10	112	225
Colombia	44	4	49	97
Congo	59	1	62	122
Croatia	7	9	16	32
Cyprus	54	48	109	211
Czech Republic	29	9	39	77
Denmark	61	2	64	127
Ecuador	3	0	2	5
Egypt	54	10	67	131
England	106667	5709	112874	225250
Eritrea	15	0	15	30
Ethiopia	16	0	16	32
Fiji	10	0	11	21
Finland	49	4	53	106
France	191	48	243	482
Gambia	4	1	5	10
Germany	625	70	694	1389
Ghana	219	69	307	595
Gibraltar	15	4	19	38
Greece	8	31	40	79
Hong Kong	170	21	200	391
Hungary	12	13	27	52
India	762	71	827	1660
Indonesia	13	3	15	31
Iran	59	56	119	234
Iraq	18	16	31	65
Israel	8	2	10	20
Italy	107	58	173	338
Ivory Coast	4	2	6	12
Japan	44	5	49	98
Kenya	318	24	339	681
Kuwait	4	0	4	8
Latvia	12	2	15	29
Lebanon	6	3	9	18
Libya	30	2	32	64
Lithuania	22	3	25	50
Malawi	26	3	29	58
Malaysia	178	14	191	383
Malta	79	25	105	209
Mauritius	101	8	102	211
Mexico	7	2	7	16
Morocco	12	0	12	24
Mozambique	5	1	7	13
Myanmar (Burma)	28	6	38	72
Nepal	62	2	63	127
Netherlands	128	17	143	288
New Zealand	199	8	208	415
Nigeria	416	49	489	954
Northern Ireland	1077	24	1100	2201
Norway	34	3	37	74
Pakistan	224	34	262	520
Palestine	13	2	15	30
Peru	11	1	14	26
Philippines	194	7	200	401
Poland	147	73	223	443
Portugal	47	13	62	122
Republic of Ireland	1784	46	1835	3665
Romania	5	11	16	32
Russia	33	16	47	96
Scotland	12733	334	13098	26165
Serbia/Montenegro	11	18	30	59
Seychelles	9	2	11	22
Sierra Leone	34	11	44	89
Singapore	138	5	143	286
Slovakia	7	5	13	25
Somalia	13	3	17	33
South Africa	341	32	374	747
Spain	58	14	74	146
Sri Lanka	137	6	151	294
Sudan	21	0	21	42
Sweden	72	2	74	148
Switzerland	42	5	46	93
Syria	1	0	1	2
Tanzania	72	16	91	179
Thailand	19	3	24	46
The Guianas	87	5	94	186
Turkey	24	19	44	87
Uganda	129	16	141	286
Ukraine	11	5	16	32
United Kingdom	121	7	129	257
USA	364	40	404	808
Venezuela	13	2	15	30
Vietnam	16	1	17	34
Wales	5897	298	6238	12433
Yemen	23	1	24	48
Zambia	78	6	86	170
Zimbabwe	169	12	182	363
