#Locus	Allele	country_of_birth	Frequency	Count
HLA-A	A*01	Afghanistan	0.142857142857143	32
HLA-A	A*02	Afghanistan	0.0948051948051948	21
HLA-A	A*03	Afghanistan	0.0803571428571428	18
HLA-A	A*11	Afghanistan	0.102678571428571	23
HLA-A	A*23	Afghanistan	0.00446428571428571	1
HLA-A	A*24	Afghanistan	0.160875160875161	36
HLA-A	A*25	Afghanistan	0.00446428571428571	1
HLA-A	A*26	Afghanistan	0.0803571428571428	18
HLA-A	A*29	Afghanistan	0.00900900900900901	2
HLA-A	A*30	Afghanistan	0.0535714285714286	12
HLA-A	A*31	Afghanistan	0.00458715596330275	1
HLA-A	A*32	Afghanistan	0.0714285714285714	16
HLA-A	A*33	Afghanistan	0.0982142857142857	22
HLA-A	A*34	Afghanistan	0	0
HLA-A	A*36	Afghanistan	0	0
HLA-A	A*40	Afghanistan	0	0
HLA-A	A*43	Afghanistan	0	0
HLA-A	A*66	Afghanistan	0	0
HLA-A	A*68	Afghanistan	0.0267857142857143	6
HLA-A	A*69	Afghanistan	0	0
HLA-A	A*74	Afghanistan	0	0
HLA-A	A*80	Afghanistan	0	0
HLA-A	A*01	Algeria	0.10989010989011	20
HLA-A	A*02	Algeria	0.201382886776145	36
HLA-A	A*03	Algeria	0.076923076923077	14
HLA-A	A*11	Algeria	0.0659340659340659	12
HLA-A	A*23	Algeria	0.043956043956044	8
HLA-A	A*24	Algeria	0.078528213359674	14
HLA-A	A*25	Algeria	0.0274725274725275	5
HLA-A	A*26	Algeria	0.0277777777777778	5
HLA-A	A*29	Algeria	0.021978021978022	4
HLA-A	A*30	Algeria	0.098901098901099	18
HLA-A	A*31	Algeria	0.010989010989011	2
HLA-A	A*32	Algeria	0.043956043956044	8
HLA-A	A*33	Algeria	0.0384615384615385	7
HLA-A	A*34	Algeria	0.0054945054945055	1
HLA-A	A*36	Algeria	0.0054945054945055	1
HLA-A	A*40	Algeria	0	0
HLA-A	A*43	Algeria	0	0
HLA-A	A*66	Algeria	0.032967032967033	6
HLA-A	A*68	Algeria	0.043956043956044	8
HLA-A	A*69	Algeria	0	0
HLA-A	A*74	Algeria	0.010989010989011	2
HLA-A	A*80	Algeria	0.010989010989011	2
HLA-A	A*01	Angola	0.0803571428571429	9
HLA-A	A*02	Angola	0.160714285714286	18
HLA-A	A*03	Angola	0.0892857142857143	10
HLA-A	A*11	Angola	0.0267857142857143	3
HLA-A	A*23	Angola	0.107142857142857	12
HLA-A	A*24	Angola	0.0535714285714286	6
HLA-A	A*25	Angola	0	0
HLA-A	A*26	Angola	0.0267857142857143	3
HLA-A	A*29	Angola	0.0535714285714286	6
HLA-A	A*30	Angola	0.133928571428572	15
HLA-A	A*31	Angola	0	0
HLA-A	A*32	Angola	0.0272727272727273	3
HLA-A	A*33	Angola	0.0357142857142858	4
HLA-A	A*34	Angola	0.0357142857142857	4
HLA-A	A*36	Angola	0.00892857142857143	1
HLA-A	A*40	Angola	0	0
HLA-A	A*43	Angola	0	0
HLA-A	A*66	Angola	0.0267857142857143	3
HLA-A	A*68	Angola	0.0803571428571429	9
HLA-A	A*69	Angola	0	0
HLA-A	A*74	Angola	0.0446428571428571	5
HLA-A	A*80	Angola	0	0
HLA-A	A*01	Antigua and Barbuda	0.0294117647058824	2
HLA-A	A*02	Antigua and Barbuda	0.161764705882353	11
HLA-A	A*03	Antigua and Barbuda	0.0735294117647059	5
HLA-A	A*11	Antigua and Barbuda	0.0147058823529412	1
HLA-A	A*23	Antigua and Barbuda	0.147058823529412	10
HLA-A	A*24	Antigua and Barbuda	0.0147058823529412	1
HLA-A	A*25	Antigua and Barbuda	0.0147058823529412	1
HLA-A	A*26	Antigua and Barbuda	0.0147058823529412	1
HLA-A	A*29	Antigua and Barbuda	0.0735294117647059	5
HLA-A	A*30	Antigua and Barbuda	0.205882352941177	14
HLA-A	A*31	Antigua and Barbuda	0.0294117647058824	2
HLA-A	A*32	Antigua and Barbuda	0.0147058823529412	1
HLA-A	A*33	Antigua and Barbuda	0.0588235294117647	4
HLA-A	A*34	Antigua and Barbuda	0.0294117647058824	2
HLA-A	A*36	Antigua and Barbuda	0.0147058823529412	1
HLA-A	A*40	Antigua and Barbuda	0	0
HLA-A	A*43	Antigua and Barbuda	0	0
HLA-A	A*66	Antigua and Barbuda	0.0294117647058824	2
HLA-A	A*68	Antigua and Barbuda	0.0588235294117647	4
HLA-A	A*69	Antigua and Barbuda	0	0
HLA-A	A*74	Antigua and Barbuda	0.0147058823529412	1
HLA-A	A*80	Antigua and Barbuda	0	0
HLA-A	A*01	Argentina	0.148854961832061	39
HLA-A	A*02	Argentina	0.243613632265432	62
HLA-A	A*03	Argentina	0.148854961832062	39
HLA-A	A*11	Argentina	0.0610687022900763	16
HLA-A	A*23	Argentina	0.00763358778625954	2
HLA-A	A*24	Argentina	0.0884615384615385	23
HLA-A	A*25	Argentina	0.0153846153846154	4
HLA-A	A*26	Argentina	0.0348837209302326	9
HLA-A	A*29	Argentina	0.0152671755725191	4
HLA-A	A*30	Argentina	0.0267469172049325	7
HLA-A	A*31	Argentina	0.0343511450381679	9
HLA-A	A*32	Argentina	0.0229007633587786	6
HLA-A	A*33	Argentina	0.0229007633587786	6
HLA-A	A*34	Argentina	0	0
HLA-A	A*36	Argentina	0	0
HLA-A	A*40	Argentina	0	0
HLA-A	A*43	Argentina	0	0
HLA-A	A*66	Argentina	0.00381679389312977	1
HLA-A	A*68	Argentina	0.0692307692307693	18
HLA-A	A*69	Argentina	0.00381679389312977	1
HLA-A	A*74	Argentina	0	0
HLA-A	A*80	Argentina	0	0
HLA-A	A*01	Australia	0.169019972678882	311
HLA-A	A*02	Australia	0.298331151707909	545
HLA-A	A*03	Australia	0.143167028199566	264
HLA-A	A*11	Australia	0.0608034744842562	112
HLA-A	A*23	Australia	0.0200650759219089	37
HLA-A	A*24	Australia	0.0783132530120482	143
HLA-A	A*25	Australia	0.013646288209607	25
HLA-A	A*26	Australia	0.0223757729446886	41
HLA-A	A*29	Australia	0.0400884365092608	74
HLA-A	A*30	Australia	0.0200433369447454	37
HLA-A	A*31	Australia	0.0293159609120521	54
HLA-A	A*32	Australia	0.0260021668472373	48
HLA-A	A*33	Australia	0.0119176598049838	22
HLA-A	A*34	Australia	0.000541711809317443	1
HLA-A	A*36	Australia	0	0
HLA-A	A*40	Australia	0	0
HLA-A	A*43	Australia	0	0
HLA-A	A*66	Australia	0.0037919826652221	7
HLA-A	A*68	Australia	0.0335861321776815	62
HLA-A	A*69	Australia	0	0
HLA-A	A*74	Australia	0	0
HLA-A	A*80	Australia	0	0
HLA-A	A*01	Austria	0.13265306122449	52
HLA-A	A*02	Austria	0.312300497121925	120
HLA-A	A*03	Austria	0.142487046632124	55
HLA-A	A*11	Austria	0.0612244897959184	24
