#country_of_birth	A*01	A*02	A*03	A*11	A*23	A*24	A*25	A*26	A*29	A*30	A*31	A*32	A*33	A*34	A*36	A*40	A*43	A*66	A*68	A*69	A*74	A*80	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*59	B*67	B*70	B*73	B*78	B*81	B*82	C*01	C*02	C*03	C*04	C*05	C*06	C*07	C*08	C*12	C*14	C*15	C*16	C*17	C*18	DPA1*01	DPA1*02	DPA1*03	DPA1*04	DPB1*01	DPB1*02	DPB1*03	DPB1*04	DPB1*05	DPB1*06	DPB1*09	DPB1*10	DPB1*11	DPB1*13	DPB1*14	DPB1*15	DPB1*16	DPB1*17	DPB1*18	DPB1*19	DPB1*20	DPB1*21	DPB1*22	DPB1*23	DPB1*26	DPB1*28	DPB1*30	DPB1*31	DPB1*33	DPB1*34	DPB1*35	DPB1*40	DPB1*45	DPB1*48	DPB1*81	DPB1*85	DQA1*01	DQA1*02	DQA1*03	DQA1*04	DQA1*05	DQA1*06	DQB1*02	DQB1*03	DQB1*04	DQB1*05	DQB1*06	DRB1*01	DRB1*03	DRB1*04	DRB1*07	DRB1*08	DRB1*09	DRB1*10	DRB1*11	DRB1*12	DRB1*13	DRB1*14	DRB1*15	DRB1*16	DRB3*01	DRB3*02	DRB3*03	DRB3*99	DRB4*01	DRB4*99	DRB5*01	DRB5*02	DRB5*99	HLA-A	HLA-B	HLA-C	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQB1	HLA-DRB1	HLA-DRB3	HLA-DRB4	HLA-DRB5
Afghanistan	32	21	18	23	1	36	1	18	2	12	1	16	22	0	0	0	0	0	6	0	0	0	6	9	7	0	7	11	3	21	3	8	0	17	6	0	14	0	0	0	2	1	8	13	18	3	3	5	1	6	10	0	0	0	0	0	0	0	12	7	18	31	3	24	40	4	41	4	17	12	5	1	59	57	0	0	0	25	8	95	2	0	3	3	0	9	2	1	0	6	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	76	31	26	2	71	0	45	78	6	39	38	10	27	8	31	2	7	12	34	2	10	10	29	0	7	84	5	97	46	56	7	3	11	209	182	219	116	164	206	206	182	193	102	21
Algeria	20	36	14	12	8	14	5	5	4	18	2	8	7	1	1	0	0	6	8	0	2	2	9	10	9	10	5	12	4	5	2	3	2	3	7	0	16	5	0	0	0	13	8	13	3	8	0	2	0	6	7	0	0	0	0	2	0	0	3	8	11	22	9	27	49	10	13	4	9	11	3	0	60	57	1	0	8	17	16	63	7	0	0	5	5	8	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	28	31	0	35	0	34	51	3	33	40	15	20	22	27	1	2	0	15	0	28	3	21	5	23	29	20	75	41	62	18	5	23	173	164	179	118	141	170	161	159	147	103	46
Angola	9	18	10	3	12	6	0	3	6	15	0	3	4	4	1	0	0	3	9	0	5	0	11	4	0	6	15	2	1	5	0	0	1	0	0	5	11	2	0	0	0	2	0	4	0	11	0	1	0	4	9	0	0	0	0	0	3	0	0	5	13	22	6	10	17	6	1	1	2	4	7	5	57	37	9	3	23	9	11	32	1	0	0	0	3	3	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	47	16	12	6	18	0	17	21	4	20	26	6	12	5	18	2	1	2	14	4	12	0	16	3	9	26	10	50	19	26	17	2	19	111	97	99	106	93	99	88	95	95	45	38
Antigua and Barbuda	2	11	5	1	10	1	1	1	5	14	2	1	4	2	1	0	0	2	4	0	1	0	2	1	0	6	6	0	1	5	0	0	0	1	0	5	4	3	0	0	0	2	0	0	0	10	0	0	0	2	4	0	0	0	0	0	1	0	0	2	4	16	2	7	6	6	0	1	1	8	7	3	32	26	4	0	15	8	7	12	1	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	35	8	5	5	9	1	5	12	5	16	15	4	7	2	6	4	1	3	5	2	12	0	9	0	10	15	10	35	8	12	9	0	9	68	53	63	62	52	63	53	55	70	20	18
Argentina	39	62	39	16	2	23	4	9	4	7	9	6	6	0	0	0	0	1	18	1	0	0	40	28	3	11	11	8	11	11	1	8	2	8	7	0	38	1	0	1	0	9	0	11	2	0	0	4	1	5	2	0	0	0	0	0	0	0	14	14	19	24	23	12	89	10	20	5	8	11	6	0	62	56	0	0	15	33	18	115	4	0	1	5	4	9	3	1	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	30	50	10	63	0	39	97	12	42	47	31	36	33	31	10	4	4	16	2	21	6	33	3	40	45	5	92	64	79	32	1	35	246	223	255	118	216	244	237	230	182	143	68
Australia	311	545	264	112	37	143	25	41	74	37	54	48	22	1	0	0	0	7	62	0	0	0	273	225	38	80	108	66	61	94	25	21	22	131	10	0	320	14	1	8	0	31	15	64	8	3	0	29	7	63	9	0	0	0	1	0	0	0	66	56	257	166	206	164	605	78	77	12	45	83	6	0	328	298	1	0	94	191	100	913	45	0	2	19	49	16	12	16	1	18	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	271	374	30	387	5	304	611	33	300	432	218	242	294	267	33	23	8	71	29	185	36	268	16	293	233	76	620	562	636	261	17	274	1783	1727	1821	627	1488	1798	1680	1690	1222	1198	552
Austria	52	120	55	24	12	34	9	10	6	4	13	12	3	0	0	0	0	0	17	0	0	1	42	31	9	10	30	19	10	31	6	7	5	27	5	0	50	2	0	1	0	7	3	22	5	2	0	10	3	17	2	0	0	0	0	0	0	0	15	24	59	54	27	40	107	10	26	6	6	7	3	0	55	54	0	0	14	52	21	194	3	0	1	4	5	9	2	1	0	6	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	167	48	69	18	76	1	46	136	18	76	87	39	30	47	46	17	4	2	26	6	54	16	44	10	51	81	15	149	105	116	40	12	51	372	356	384	109	316	379	363	341	296	221	103
Bahrain	8	18	12	8	0	7	2	0	1	4	2	4	0	0	1	0	0	0	2	0	0	0	14	7	1	3	5	4	3	10	3	0	0	6	0	1	2	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	4	9	12	3	4	23	3	4	0	5	0	1	0	20	18	1	0	3	10	7	29	2	0	0	1	2	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	5	11	1	12	0	11	14	1	13	24	6	10	7	5	0	0	2	3	0	7	1	17	1	10	12	2	24	15	17	17	4	21	69	65	70	39	58	69	63	59	48	32	42
Bangladesh	82	38	31	104	1	53	0	4	4	3	4	7	77	0	0	0	0	0	23	0	0	1	31	5	9	1	84	4	11	36	19	12	0	19	0	0	73	0	0	0	0	1	3	12	29	0	1	7	0	39	15	0	0	0	0	0	0	0	16	7	33	56	2	67	141	66	59	9	21	3	0	0	187	164	0	13	11	79	16	126	5	0	4	10	0	60	5	0	0	3	0	4	0	11	0	0	16	11	0	0	0	0	0	0	0	0	0	0	197	145	44	1	25	57	94	166	3	116	79	14	9	16	147	1	4	39	8	62	15	14	92	1	7	35	66	122	174	190	57	6	65	432	411	480	364	361	469	458	422	230	364	128
Barbados	30	95	38	6	50	12	0	6	14	77	10	7	47	20	16	0	0	15	50	0	39	8	45	16	2	5	78	13	4	23	2	3	2	8	1	32	35	28	0	0	0	6	6	13	0	76	0	0	2	18	25	0	0	0	0	4	10	0	4	14	47	117	18	39	101	17	11	12	1	66	39	14	370	294	43	1	192	41	23	103	2	0	0	1	14	24	2	1	0	30	21	0	1	0	0	0	0	1	0	0	0	0	0	10	0	0	0	8	227	53	58	93	82	2	64	134	61	84	131	42	80	21	54	56	21	4	57	14	75	4	62	9	93	110	44	258	76	114	66	9	73	540	457	500	708	474	515	474	499	505	190	148
