#GBE_ID	PRS	phenotype	PRS_pheno	BETA	P	fdr
INI23000	INI30000_PRS	1gG antigen for Herpes Simplex virus-1	White blood cell count	0.050 (0.038,0.062)	3.34e-05	0.00701655816664228
INI23010	INI30200_PRS	IE1A antigen for Human Herpesvirus-6	Neutrophill %	-0.050 (-0.062,-0.038)	4.44e-05	0.00701655816664228
INI23009	INI30000_PRS	Pp 28 antigen for Human Cytomegalovirus	White blood cell count	0.049 (0.037,0.061)	5.98e-05	0.00701655816664228
INI23000	INI30150_PRS	1gG antigen for Herpes Simplex virus-1	Eosinophill count	0.046 (0.034,0.058)	1.37e-04	0.0120544462696814
INI23010	INI30180_PRS	IE1A antigen for Human Herpesvirus-6	Lymphocyte %	0.044 (0.032,0.056)	3.40e-04	0.0238898871105814
INI23008	INI30120_PRS	Pp 52 antigen for Human Cytomegalovirus	Lymphocyte count	0.042 (0.030,0.055)	4.55e-04	0.0238898871105814
INI23000	INI30140_PRS	1gG antigen for Herpes Simplex virus-1	Neutrophill count	0.042 (0.030,0.054)	4.75e-04	0.0238898871105814
INI23009	INI30120_PRS	Pp 28 antigen for Human Cytomegalovirus	Lymphocyte count	0.040 (0.028,0.052)	9.91e-04	0.0436188624778188
INI23015	INI30000_PRS	K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus	White blood cell count	0.039 (0.027,0.051)	1.37e-03	0.0534947374033929
INI23015	INI30120_PRS	K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus	Lymphocyte count	0.038 (0.026,0.050)	1.88e-03	0.0612839304744874
INI23010	INI30120_PRS	IE1A antigen for Human Herpesvirus-6	Lymphocyte count	0.038 (0.026,0.050)	1.92e-03	0.0612839304744874
INI23008	INI30000_PRS	Pp 52 antigen for Human Cytomegalovirus	White blood cell count	0.037 (0.025,0.049)	2.24e-03	0.065663967501853
INI23025	INI30000_PRS	HIV-1 env antigen for Human Immunodeficiency Virus	White blood cell count	0.036 (0.023,0.048)	3.44e-03	0.086879747580686
INI23029	INI30000_PRS	L1 antigen for Human Papillomavirus type-16	White blood cell count	0.035 (0.023,0.048)	3.59e-03	0.086879747580686
INI23029	INI30120_PRS	L1 antigen for Human Papillomavirus type-16	Lymphocyte count	0.035 (0.023,0.047)	3.70e-03	0.086879747580686
