#quantile_bin	White blood cell count	Lymphocyte count	Monocyte count	Neutrophill count	Eosinophill count	Basophill count	Lymphocyte %	Monocyte %	Neutrophill %	Eosinophill %	Basophill %
0% - 0.05%	8.949 (8.450-9.447)	2.485 (2.367-2.602)	0.705 (0.674-0.736)	5.779 (5.464-6.094)	0.414 (0.362-0.465)	0.067 (0.054-0.080)	35.325 (34.279-36.372)	10.218 (9.831-10.604)	69.141 (67.788-70.493)	5.928 (5.340-6.515)	0.945 (0.840-1.051)
0.05% - 1%	8.497 (8.327-8.667)	2.327 (2.300-2.354)	0.670 (0.660-0.680)	5.484 (5.416-5.552)	0.307 (0.299-0.316)	0.055 (0.051-0.058)	33.151 (32.857-33.446)	9.651 (9.510-9.791)	66.710 (66.398-67.022)	4.235 (4.133-4.337)	0.743 (0.711-0.775)
1% - 5%	7.934 (7.893-7.974)	2.243 (2.229-2.256)	0.597 (0.592-0.602)	5.113 (5.083-5.142)	0.256 (0.253-0.259)	0.046 (0.045-0.047)	32.409 (32.262-32.557)	8.593 (8.545-8.641)	65.313 (65.167-65.460)	3.671 (3.628-3.713)	0.725 (0.710-0.739)
5% - 10%	7.619 (7.585-7.654)	2.169 (2.141-2.197)	0.569 (0.565-0.572)	4.835 (4.809-4.861)	0.241 (0.238-0.243)	0.042 (0.041-0.043)	31.437 (31.309-31.565)	8.193 (8.142-8.245)	64.505 (64.370-64.641)	3.327 (3.292-3.362)	0.667 (0.655-0.678)
10% - 15%	7.457 (7.416-7.497)	2.156 (2.130-2.182)	0.544 (0.540-0.547)	4.694 (4.669-4.720)	0.215 (0.212-0.217)	0.040 (0.039-0.041)	31.049 (30.919-31.179)	7.966 (7.920-8.013)	63.809 (63.672-63.946)	3.146 (3.111-3.180)	0.631 (0.619-0.643)
15% - 20%	7.352 (7.321-7.384)	2.056 (2.044-2.067)	0.533 (0.530-0.537)	4.629 (4.604-4.655)	0.210 (0.208-0.213)	0.040 (0.039-0.041)	30.617 (30.490-30.744)	7.775 (7.737-7.813)	63.407 (63.271-63.543)	3.005 (2.973-3.037)	0.643 (0.628-0.658)
20% - 25%	7.266 (7.232-7.300)	2.082 (2.062-2.103)	0.515 (0.511-0.519)	4.571 (4.545-4.598)	0.204 (0.201-0.206)	0.036 (0.035-0.037)	30.116 (29.991-30.241)	7.611 (7.573-7.650)	62.918 (62.778-63.058)	2.948 (2.915-2.981)	0.639 (0.624-0.655)
25% - 30%	7.203 (7.171-7.234)	2.037 (2.011-2.063)	0.507 (0.504-0.510)	4.458 (4.433-4.483)	0.191 (0.189-0.193)	0.035 (0.034-0.036)	29.500 (29.377-29.624)	7.557 (7.501-7.613)	62.490 (62.351-62.628)	2.844 (2.803-2.885)	0.591 (0.581-0.602)
30% - 35%	7.164 (7.132-7.195)	2.010 (1.988-2.031)	0.510 (0.505-0.515)	4.461 (4.436-4.485)	0.193 (0.190-0.196)	0.036 (0.035-0.037)	29.451 (29.322-29.580)	7.392 (7.348-7.436)	62.225 (62.083-62.366)	2.695 (2.665-2.726)	0.579 (0.568-0.589)
35% - 40%	6.988 (6.958-7.018)	1.955 (1.943-1.966)	0.497 (0.493-0.500)	4.361 (4.337-4.385)	0.180 (0.178-0.182)	0.035 (0.034-0.036)	29.456 (29.328-29.583)	7.192 (7.143-7.241)	61.817 (61.678-61.956)	2.713 (2.673-2.753)	0.580 (0.569-0.591)
40% - 45%	7.028 (6.989-7.067)	1.973 (1.950-1.996)	0.478 (0.475-0.482)	4.343 (4.320-4.367)	0.176 (0.173-0.178)	0.033 (0.033-0.034)	28.787 (28.663-28.910)	7.154 (7.110-7.198)	61.621 (61.480-61.763)	2.644 (2.613-2.675)	0.575 (0.566-0.585)
45% - 50%	6.946 (6.915-6.976)	1.946 (1.930-1.961)	0.476 (0.471-0.480)	4.262 (4.239-4.286)	0.169 (0.167-0.171)	0.033 (0.032-0.034)	28.953 (28.828-29.078)	7.043 (7.004-7.081)	61.186 (61.041-61.330)	2.512 (2.483-2.541)	0.567 (0.556-0.578)
50% - 55%	6.857 (6.826-6.888)	1.958 (1.938-1.979)	0.470 (0.467-0.473)	4.182 (4.159-4.205)	0.164 (0.162-0.166)	0.033 (0.032-0.034)	28.638 (28.515-28.761)	7.012 (6.964-7.059)	61.183 (61.040-61.327)	2.462 (2.432-2.492)	0.557 (0.547-0.568)
55% - 60%	6.809 (6.772-6.846)	1.896 (1.885-1.907)	0.461 (0.458-0.464)	4.187 (4.163-4.211)	0.164 (0.162-0.166)	0.031 (0.031-0.032)	28.155 (28.030-28.281)	6.956 (6.913-6.999)	60.769 (60.627-60.910)	2.398 (2.370-2.425)	0.528 (0.520-0.536)
60% - 65%	6.682 (6.649-6.714)	1.928 (1.903-1.954)	0.454 (0.451-0.458)	4.163 (4.140-4.186)	0.158 (0.156-0.160)	0.031 (0.031-0.032)	27.772 (27.650-27.893)	6.786 (6.737-6.835)	60.534 (60.393-60.675)	2.352 (2.325-2.379)	0.531 (0.522-0.540)
65% - 70%	6.657 (6.629-6.686)	1.862 (1.847-1.876)	0.447 (0.444-0.449)	4.050 (4.027-4.073)	0.152 (0.150-0.154)	0.031 (0.030-0.031)	27.512 (27.392-27.631)	6.693 (6.656-6.729)	60.200 (60.057-60.342)	2.257 (2.231-2.284)	0.534 (0.526-0.543)
70% - 75%	6.562 (6.523-6.601)	1.864 (1.852-1.877)	0.440 (0.437-0.443)	4.014 (3.991-4.037)	0.147 (0.145-0.149)	0.030 (0.029-0.030)	27.090 (26.966-27.213)	6.647 (6.602-6.692)	59.836 (59.695-59.977)	2.215 (2.186-2.244)	0.511 (0.504-0.517)
75% - 80%	6.564 (6.534-6.594)	1.843 (1.829-1.857)	0.434 (0.430-0.437)	3.935 (3.914-3.957)	0.145 (0.143-0.147)	0.029 (0.028-0.030)	27.213 (27.096-27.330)	6.448 (6.408-6.487)	59.618 (59.476-59.759)	2.137 (2.111-2.163)	0.506 (0.497-0.515)
80% - 85%	6.450 (6.421-6.478)	1.818 (1.801-1.835)	0.421 (0.419-0.424)	3.867 (3.846-3.889)	0.135 (0.134-0.137)	0.028 (0.028-0.029)	26.630 (26.509-26.752)	6.326 (6.292-6.360)	59.166 (59.022-59.310)	2.061 (2.037-2.085)	0.489 (0.483-0.495)
85% - 90%	6.323 (6.289-6.356)	1.786 (1.770-1.802)	0.414 (0.411-0.417)	3.825 (3.804-3.847)	0.130 (0.128-0.132)	0.027 (0.026-0.027)	26.334 (26.214-26.454)	6.131 (6.091-6.171)	59.008 (58.866-59.150)	1.952 (1.928-1.977)	0.479 (0.473-0.485)
90% - 95%	6.144 (6.116-6.171)	1.752 (1.738-1.766)	0.400 (0.397-0.403)	3.689 (3.668-3.710)	0.121 (0.119-0.122)	0.025 (0.024-0.026)	25.730 (25.617-25.844)	6.044 (6.005-6.084)	58.082 (57.938-58.225)	1.858 (1.825-1.891)	0.475 (0.468-0.482)
95% - 99%	6.018 (5.987-6.049)	1.678 (1.668-1.689)	0.373 (0.369-0.377)	3.589 (3.567-3.612)	0.109 (0.106-0.111)	0.024 (0.023-0.025)	24.976 (24.845-25.106)	5.778 (5.717-5.838)	57.018 (56.854-57.182)	1.672 (1.647-1.696)	0.447 (0.441-0.453)
99% - 99.95%	5.667 (5.592-5.742)	1.589 (1.569-1.609)	0.341 (0.336-0.346)	3.287 (3.244-3.330)	0.091 (0.088-0.094)	0.021 (0.020-0.022)	23.411 (23.173-23.650)	5.172 (5.110-5.234)	55.691 (55.347-56.036)	1.374 (1.335-1.412)	0.449 (0.432-0.466)
