#quantile_bin	INI30000	INI30010	INI30020	INI30030	INI30040	INI30050	INI30060	INI30070	INI30080	INI30090	INI30100	INI30110	INI30120	INI30130	INI30140	INI30150	INI30160	INI30170	INI30180	INI30190	INI30200	INI30210	INI30220	INI30230	INI30240	INI30250	INI30260	INI30270	INI30280	INI30290	INI30300
0% - 0.05%	8.949 (8.450-9.447)	4.982 (4.903-5.062)	15.348 (15.078-15.617)	44.084 (43.399-44.770)	98.515 (97.977-99.052)	34.213 (33.962-34.464)	35.513 (35.244-35.783)	14.528 (14.401-14.654)	353.003 (341.663-364.343)	0.310 (0.299-0.322)	11.890 (11.709-12.071)	17.465 (17.359-17.571)	2.485 (2.367-2.602)	0.705 (0.674-0.736)	5.779 (5.464-6.094)	0.414 (0.362-0.465)	0.067 (0.054-0.080)	NaN (NaN-NaN)	35.325 (34.279-36.372)	10.218 (9.831-10.604)	69.141 (67.788-70.493)	5.928 (5.340-6.515)	0.945 (0.840-1.051)	NaN (NaN-NaN)	2.032 (1.918-2.146)	0.081 (0.076-0.086)	113.297 (111.971-114.624)	89.088 (88.100-90.076)	0.346 (0.339-0.352)	0.648 (0.602-0.694)	0.031 (0.029-0.034)
0.05% - 1%	8.497 (8.327-8.667)	4.883 (4.867-4.899)	15.092 (15.045-15.139)	43.425 (43.281-43.569)	96.748 (96.583-96.914)	33.682 (33.600-33.764)	35.057 (35.000-35.114)	14.152 (14.114-14.190)	330.713 (327.794-333.633)	0.287 (0.285-0.290)	11.195 (11.149-11.241)	17.201 (17.177-17.224)	2.327 (2.300-2.354)	0.670 (0.660-0.680)	5.484 (5.416-5.552)	0.307 (0.299-0.316)	0.055 (0.051-0.058)	NaN (NaN-NaN)	33.151 (32.857-33.446)	9.651 (9.510-9.791)	66.710 (66.398-67.022)	4.235 (4.133-4.337)	0.743 (0.711-0.775)	NaN (NaN-NaN)	1.849 (1.817-1.881)	0.082 (0.081-0.084)	113.109 (112.803-113.416)	87.838 (87.633-88.043)	0.339 (0.337-0.342)	0.614 (0.603-0.624)	0.028 (0.028-0.029)
1% - 5%	7.934 (7.893-7.974)	4.772 (4.764-4.780)	14.780 (14.756-14.804)	42.833 (42.764-42.902)	95.124 (95.046-95.202)	33.052 (33.019-33.085)	34.866 (34.846-34.886)	14.003 (13.985-14.020)	304.258 (303.004-305.513)	0.270 (0.269-0.271)	10.599 (10.578-10.619)	17.004 (16.994-17.015)	2.243 (2.229-2.256)	0.597 (0.592-0.602)	5.113 (5.083-5.142)	0.256 (0.253-0.259)	0.046 (0.045-0.047)	NaN (NaN-NaN)	32.409 (32.262-32.557)	8.593 (8.545-8.641)	65.313 (65.167-65.460)	3.671 (3.628-3.713)	0.725 (0.710-0.739)	NaN (NaN-NaN)	1.656 (1.642-1.670)	0.076 (0.075-0.076)	111.712 (111.574-111.851)	86.961 (86.858-87.063)	0.326 (0.325-0.327)	0.543 (0.538-0.548)	0.024 (0.024-0.024)
5% - 10%	7.619 (7.585-7.654)	4.708 (4.701-4.715)	14.699 (14.677-14.721)	42.379 (42.318-42.441)	94.081 (94.012-94.151)	32.626 (32.600-32.653)	34.778 (34.762-34.794)	13.880 (13.863-13.897)	291.166 (290.117-292.215)	0.261 (0.260-0.262)	10.250 (10.232-10.268)	16.841 (16.832-16.850)	2.169 (2.141-2.197)	0.569 (0.565-0.572)	4.835 (4.809-4.861)	0.241 (0.238-0.243)	0.042 (0.041-0.043)	NaN (NaN-NaN)	31.437 (31.309-31.565)	8.193 (8.142-8.245)	64.505 (64.370-64.641)	3.327 (3.292-3.362)	0.667 (0.655-0.678)	NaN (NaN-NaN)	1.577 (1.559-1.594)	0.072 (0.071-0.073)	110.403 (110.278-110.527)	86.005 (85.913-86.097)	0.315 (0.314-0.316)	0.499 (0.495-0.503)	0.023 (0.022-0.023)
10% - 15%	7.457 (7.416-7.497)	4.651 (4.644-4.658)	14.552 (14.530-14.574)	42.129 (42.067-42.191)	93.678 (93.610-93.745)	32.362 (32.333-32.390)	34.700 (34.683-34.716)	13.771 (13.755-13.787)	284.349 (283.321-285.377)	0.254 (0.253-0.255)	10.041 (10.025-10.058)	16.763 (16.754-16.772)	2.156 (2.130-2.182)	0.544 (0.540-0.547)	4.694 (4.669-4.720)	0.215 (0.212-0.217)	0.040 (0.039-0.041)	0.002 (0.001-0.002)	31.049 (30.919-31.179)	7.966 (7.920-8.013)	63.809 (63.672-63.946)	3.146 (3.111-3.180)	0.631 (0.619-0.643)	0.026 (0.023-0.029)	1.544 (1.519-1.568)	0.068 (0.068-0.069)	109.380 (109.259-109.501)	85.304 (85.212-85.396)	0.310 (0.309-0.311)	0.478 (0.474-0.482)	0.021 (0.021-0.022)
15% - 20%	7.352 (7.321-7.384)	4.626 (4.619-4.633)	14.470 (14.449-14.491)	41.909 (41.847-41.970)	92.980 (92.911-93.050)	32.263 (32.236-32.291)	34.683 (34.665-34.700)	13.717 (13.700-13.734)	277.172 (276.157-278.187)	0.249 (0.248-0.250)	9.885 (9.867-9.902)	16.712 (16.703-16.720)	2.056 (2.044-2.067)	0.533 (0.530-0.537)	4.629 (4.604-4.655)	0.210 (0.208-0.213)	0.040 (0.039-0.041)	NaN (NaN-NaN)	30.617 (30.490-30.744)	7.775 (7.737-7.813)	63.407 (63.271-63.543)	3.005 (2.973-3.037)	0.643 (0.628-0.658)	NaN (NaN-NaN)	1.475 (1.465-1.485)	0.067 (0.067-0.067)	108.840 (108.715-108.965)	84.903 (84.815-84.992)	0.307 (0.306-0.308)	0.475 (0.460-0.490)	0.021 (0.021-0.021)
20% - 25%	7.266 (7.232-7.300)	4.627 (4.620-4.634)	14.400 (14.379-14.420)	41.858 (41.797-41.919)	92.807 (92.738-92.875)	32.087 (32.057-32.118)	34.646 (34.630-34.662)	13.673 (13.657-13.690)	271.073 (270.104-272.042)	0.246 (0.246-0.247)	9.799 (9.782-9.816)	16.665 (16.656-16.674)	2.082 (2.062-2.103)	0.515 (0.511-0.519)	4.571 (4.545-4.598)	0.204 (0.201-0.206)	0.036 (0.035-0.037)	NaN (NaN-NaN)	30.116 (29.991-30.241)	7.611 (7.573-7.650)	62.918 (62.778-63.058)	2.948 (2.915-2.981)	0.639 (0.624-0.655)	NaN (NaN-NaN)	1.436 (1.425-1.447)	0.066 (0.065-0.066)	108.155 (108.028-108.282)	84.549 (84.459-84.639)	0.304 (0.303-0.305)	0.455 (0.450-0.460)	0.020 (0.020-0.020)
25% - 30%	7.203 (7.171-7.234)	4.605 (4.598-4.611)	14.438 (14.417-14.459)	41.600 (41.540-41.659)	92.383 (92.313-92.454)	32.009 (31.980-32.038)	34.651 (34.634-34.669)	13.617 (13.601-13.633)	267.056 (266.066-268.045)	0.243 (0.242-0.244)	9.645 (9.629-9.661)	16.622 (16.613-16.630)	2.037 (2.011-2.063)	0.507 (0.504-0.510)	4.458 (4.433-4.483)	0.191 (0.189-0.193)	0.035 (0.034-0.036)	NaN (NaN-NaN)	29.500 (29.377-29.624)	7.557 (7.501-7.613)	62.490 (62.351-62.628)	2.844 (2.803-2.885)	0.591 (0.581-0.602)	NaN (NaN-NaN)	1.426 (1.409-1.444)	0.063 (0.063-0.064)	107.586 (107.454-107.719)	84.111 (84.025-84.197)	0.301 (0.300-0.302)	0.427 (0.424-0.431)	0.020 (0.019-0.020)
30% - 35%	7.164 (7.132-7.195)	4.566 (4.559-4.573)	14.334 (14.312-14.356)	41.567 (41.507-41.627)	92.226 (92.157-92.296)	31.861 (31.833-31.890)	34.595 (34.579-34.611)	13.612 (13.595-13.628)	265.830 (264.876-266.784)	0.240 (0.239-0.241)	9.566 (9.550-9.582)	16.568 (16.560-16.576)	2.010 (1.988-2.031)	0.510 (0.505-0.515)	4.461 (4.436-4.485)	0.193 (0.190-0.196)	0.036 (0.035-0.037)	0.002 (0.002-0.002)	29.451 (29.322-29.580)	7.392 (7.348-7.436)	62.225 (62.083-62.366)	2.695 (2.665-2.726)	0.579 (0.568-0.589)	0.035 (0.032-0.038)	1.405 (1.390-1.420)	0.063 (0.062-0.063)	107.215 (107.088-107.343)	83.843 (83.755-83.930)	0.297 (0.296-0.298)	0.417 (0.413-0.421)	0.019 (0.019-0.019)
35% - 40%	6.988 (6.958-7.018)	4.540 (4.533-4.546)	14.297 (14.276-14.319)	41.430 (41.370-41.490)	91.928 (91.861-91.995)	31.797 (31.767-31.827)	34.573 (34.554-34.592)	13.549 (13.533-13.565)	262.666 (261.713-263.619)	0.238 (0.237-0.238)	9.473 (9.457-9.489)	16.547 (16.538-16.555)	1.955 (1.943-1.966)	0.497 (0.493-0.500)	4.361 (4.337-4.385)	0.180 (0.178-0.182)	0.035 (0.034-0.036)	NaN (NaN-NaN)	29.456 (29.328-29.583)	7.192 (7.143-7.241)	61.817 (61.678-61.956)	2.713 (2.673-2.753)	0.580 (0.569-0.591)	NaN (NaN-NaN)	1.372 (1.355-1.389)	0.062 (0.062-0.063)	106.956 (106.825-107.087)	83.503 (83.416-83.590)	0.295 (0.294-0.296)	0.415 (0.412-0.419)	0.019 (0.019-0.019)
